L,Cmps,QPS,Recall
1700,3653,591.017,100
1400,3315,670.241,100
1100,2929,783.699,100
1000,2789,831.947,100
900,2638,892.857,100
800,2478,964.32,100
700,2308,1050.42,100
600,2122,1161.44,99.99
500,1919,1312.34,99.99
400,1695,1517.45,99.99
300,1441,1838.24,99.98
250,1299,2070.39,99.98
200,1143,2403.85,99.98
180,1075,2577.32,99.96
160,1004,2785.52,99.96
140,928,3048.78,99.96
120,848,3378.38,99.96
100,762,3816.79,99.93
90,717,4098.36,99.93
80,669,4405.29,99.91
70,619,4830.92,99.88
60,566,5319.15,99.84
55,538,5649.72,99.81
50,510,6024.1,99.78
45,480,6369.43,99.74
40,449,6896.55,99.71
35,416,7462.69,99.64
30,382,8196.72,99.49
25,346,9174.31,99.31
20,307,10526.3,98.82
15,265,12345.7,98.1
10,218,15384.6,96.2
