L,Cmps,QPS,Recall
1700,11343,423.855,95.696
1400,9995,502.008,95.059
1100,8507,626.763,94.095
1000,7970,679.948,93.61
900,7414,743.826,93.114
800,6824,788.146,92.4
700,6214,912.909,91.675
600,5574,1018.95,90.838
500,4896,1223.99,89.748
400,4163,1479.29,88.221
300,3360,1858.05,85.818
250,2927,2082.47,84.128
200,2467,2510.67,81.846
180,2274,2739.73,80.629
160,2076,3022.06,79.335
140,1872,3368.14,77.779
120,1661,3816.79,75.903
100,1438,4631.77,73.429
90,1324,5086.47,71.863
80,1208,5564.83,70.137
70,1089,6157.64,68.15
60,966,6910.85,65.836
55,902,7358.35,64.487
50,838,7880.22,62.986
45,772,8488.96,61.332
40,707,9191.18,59.581
35,639,10050.3,57.465
30,569,11074.2,54.928
25,497,12422.4,51.871
20,423,14164.3,48.192
15,347,16474.5,43.589
10,265,19960.1,37.198
