L,Cmps,QPS,Recall
1700,1397,2009.24,100
1400,1271,2289.38,100
1100,1096,2678.81,100
1000,1056,2823.26,100
900,1016,2984.18,100
800,973,3179.65,100
700,928,3448.28,100
600,878,3779.29,100
500,819,4221.19,100
400,731,4863.81,100
300,636,5777.01,99.999
250,589,6459.95,99.999
200,533,7434.94,99.991
180,506,7987.22,99.991
160,477,8665.51,99.989
140,447,9505.7,99.984
120,414,10593.2,99.978
100,376,12106.5,99.968
90,355,13037.8,99.952
80,334,14124.3,99.939
70,312,15552.1,99.907
60,290,17182.1,99.852
55,277,18281.5,99.817
50,265,19455.3,99.765
45,251,20833.3,99.709
40,237,22321.4,99.599
35,222,24570,99.451
30,206,27173.9,99.234
25,188,30487.8,98.928
20,169,35087.7,98.367
15,147,41322.3,97.276
10,122,52083.3,94.81
