L,Cmps,QPS,Recall
1700,80173,21.0199,71.09
1400,69904,23.9601,68.49
1100,58639,25.62,65.29
1000,54598,28.1017,64.1
900,50452,30.0625,62.71
800,46125,32.4876,61.18
700,41554,32.6861,59.35
600,36834,35.0717,57.27
500,31860,41.0543,54.67
400,26562,42.4376,51.24
300,20920,47.0765,46.93
250,17963,51.34,44.13
200,14894,58.6717,41.48
180,13622,58.0788,40.09
160,12330,62.3092,38.72
140,11027,64.8088,37.17
120,9659,65.2273,35
100,8296,69.8275,32.87
90,7585,69.1467,31.67
80,6872,71.048,30.41
70,6129,74.2556,28.76
60,5390,75.6487,27.12
55,5012,77.3754,26.28
50,4635,78.0457,25.36
45,4262,79.4471,24.47
40,3863,81.0767,23.08
35,3453,86.5876,21.64
30,3056,88.6997,20.21
25,2645,90.6208,18.74
20,2222,92.7128,16.86
15,1797,94.8137,14.96
10,1341,97.4849,12.41
