L,Cmps,QPS,Recall
1700,118251,15.1964,95.74
1400,102742,20.3766,94.99
1100,86007,23.9958,93.72
1000,80037,24.8917,93.21
900,73733,27.0907,92.49
800,67319,29.7929,91.9
700,60638,34.4828,90.88
600,53763,40.6504,89.73
500,46483,46.7836,88.17
400,38742,54.7945,85.92
300,30529,62.3208,82.53
250,26228,69.9398,80.15
200,21716,84.488,76.84
180,19883,92.2594,75.39
160,17994,101.874,73.54
140,16079,114.051,71.65
120,14091,130.225,69.34
100,12110,151.722,66.8
90,11070,166.113,64.9
80,10044,183.15,63.18
70,8990,204.541,61.18
60,7926,231.857,58.38
55,7395,248.694,57.18
50,6848,268.745,55.54
45,6301,292.056,53.4
40,5755,321.44,51.92
35,5207,355.745,49.91
30,4657,397.931,47.98
25,4106,451.467,45.9
20,3533,525.21,43.23
15,2934,633.714,39.4
10,2277,819.672,34.2
