ef,recall,qps,dist_comp
1700,0.9574,24.8828,11190.3
1400,0.9521,33.0988,9837.47
1100,0.9451,46.914,8372.47
1000,0.941,50.7418,7852.16
900,0.9374,61.5532,7308.12
800,0.9334,71.1576,6745.42
700,0.9273,85.8066,6157.21
600,0.9174,105.051,5535.99
500,0.9074,129.119,4878.92
400,0.8925,173.318,4176.49
300,0.8705,249.864,3405.31
250,0.857,308.388,2990.66
200,0.8392,363.498,2548.79
180,0.8301,447.72,2362.29
160,0.8191,510.67,2170.76
140,0.8043,530.528,1970.89
120,0.7845,696.325,1764.3
100,0.7602,744.702,1549.34
90,0.7463,941.787,1437.88
80,0.7295,1055.57,1322.69
70,0.7087,1200.15,1201.83
60,0.6852,1376.83,1078.38
55,0.6738,1490.63,1015.43
50,0.6594,1402.33,953.161
45,0.6427,1774.31,886.386
40,0.6242,1964.37,822
35,0.6002,2183.07,753.553
30,0.5688,2495.89,680.865
25,0.5347,2828.58,608.269
20,0.4922,3326.27,530.225
15,0.4375,4098.87,449.38
10,0.3564,5409.08,353.962
