Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
436495,809376,314848,539868,195130,364374,79053,281421,376137,704064,
ef,recall,qps,dist_comp,hops
3000,0.9995,460.647,3634.21,1624.45
2500,0.9993,520.766,3298.04,1424.03
2000,0.9994,602.466,2922.47,1202.69
1700,0.9995,668.342,2671.91,1057.1
1400,0.9992,764.255,2393.57,904.039
1100,0.9992,902.132,2081.73,741.757
1000,0.9993,963.253,1967.93,685.501
900,0.9992,1036.34,1848.04,628.121
800,0.9993,1111.58,1721.88,568.578
700,0.999,1233.17,1588.6,507.621
600,0.999,1376.16,1445.16,445.591
500,0.9986,1569.9,1290.53,380.99
400,0.9985,1836.72,1120.36,314.544
300,0.9981,2276.33,931.657,244.517
250,0.9978,2589.8,827.572,208.581
200,0.9976,3056.17,714.861,171.699
180,0.9973,3305.96,666.889,156.556
160,0.9968,3604.19,616.737,141.115
140,0.996,3968.5,564.667,125.467
120,0.9949,4442.44,509.878,109.555
100,0.9941,5063.94,451.962,93.259
90,0.9929,5459.71,421.984,84.925
80,0.9915,5919.97,391.045,76.458
70,0.9897,6463.36,358.521,67.855
60,0.9881,7139.57,324.637,59.161
55,0.9863,7652.32,307.242,54.809
50,0.9842,8167.02,288.935,50.358
45,0.9821,8798.23,270.541,45.941
40,0.9787,9490.95,251.483,41.492
35,0.9735,10371.3,231.786,37.014
30,0.9677,11437.9,211.343,32.543
25,0.9564,12857.3,189.49,27.994
20,0.9393,14748.9,166.633,23.401
15,0.9188,17465.8,142.756,18.825
10,0.8727,21705.6,117.073,14.24
