Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
112236,410900,700554,879730,813630,797461,46841,990488,905235,644372,
ef,recall,qps,dist_comp,hops
3000,0.9988,92.7578,15557.3,2295.02
2500,0.9986,107.493,13735.9,1955.1
2000,0.9982,128.236,11759.1,1607.13
1700,0.9982,146.872,10473.6,1389.82
1400,0.9977,172.496,9102.23,1165.98
1100,0.9967,211.56,7615.23,935.746
1000,0.9962,228.466,7088.22,857.629
900,0.9956,249.616,6543.18,778.582
800,0.9949,275.958,5981.28,697.724
700,0.9938,309.837,5395.22,615.565
600,0.9934,353.011,4781.56,532.185
500,0.9912,414.884,4141.61,447.719
400,0.9882,504.822,3460.87,361.944
300,0.9835,651.301,2734.43,275.155
250,0.9785,765.657,2352.42,231.336
200,0.9726,934.89,1953.49,187.25
180,0.9686,1023.29,1790.33,169.549
160,0.9639,1133.92,1621.09,151.616
140,0.9565,1282.95,1450.31,133.824
120,0.9464,1473.1,1272.26,115.732
100,0.9361,1732.86,1092,97.798
90,0.93,1897.32,998.73,88.701
80,0.92,2115.68,905.724,79.648
70,0.9079,2372.55,812.007,70.622
60,0.8948,2690.6,717.578,61.566
55,0.8863,2891.26,670.63,57.035
50,0.877,3117.6,623.966,52.506
45,0.8653,3363.5,576.005,47.923
40,0.8523,3706.72,527.724,43.316
35,0.8359,4107.19,480.339,38.829
30,0.8239,4375.39,451.083,36.077
25,0.8239,4346.29,451.08,36.021
20,0.8237,4378.91,451.072,35.961
15,0.8236,4393.22,451.07,35.899
10,0.8235,4400.22,451.068,35.854
