Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
112236,410900,700554,879730,813630,797461,46841,990488,905235,644372,
ef,recall,qps,dist_comp,hops
3000,0.9964,108.773,14565.8,2294.96
2500,0.9955,127.588,12860.8,1955.23
2000,0.9947,140.444,11010,1607.29
1700,0.9922,149.837,9803.17,1389.87
1400,0.9905,175.249,8519.39,1166.09
1100,0.9877,214.067,7130.77,935.927
1000,0.9861,231.52,6637.4,857.681
900,0.9851,293.337,6130.91,778.66
800,0.9823,311.198,5605.55,697.784
700,0.9795,366.61,5059.98,615.722
600,0.9763,418.755,4487.57,532.287
500,0.9713,432.742,3890.5,447.999
400,0.9634,510.925,3255.78,362.279
300,0.9492,655.097,2576.59,275.464
250,0.9402,771.369,2220.69,231.716
200,0.9285,933.592,1847.95,187.527
180,0.9202,1029.72,1693.58,169.816
160,0.9119,1143.25,1536.4,152.061
140,0.9012,1272.84,1377.48,134.35
120,0.8887,1457.97,1212.84,116.46
100,0.8717,1708.34,1042.3,98.386
90,0.8614,2160.88,955.535,89.4
80,0.849,2438.59,866.58,80.31
70,0.8321,2730.38,777.589,71.261
60,0.8132,3091.02,690.003,62.25
55,0.8017,3307.15,645.489,57.665
50,0.7898,3553.16,601.3,53.131
45,0.7754,3857.09,556.735,48.573
40,0.7605,4196.75,511.438,44.027
35,0.7421,4629.84,467.73,39.615
30,0.7272,4937.07,439.909,36.819
25,0.7272,4926.78,439.906,36.762
20,0.7272,4920.11,439.906,36.705
15,0.7271,4933.71,439.903,36.643
10,0.727,4940.43,439.901,36.597
