Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
387223,256019,153229,216997,177328,974198,359903,768297,308241,435667,
ef,recall,qps,dist_comp,hops
3000,0.9925,49.5707,37397.3,3000.6
2500,0.9914,58.974,31807.9,2500.63
2000,0.989,73.1244,26039.6,2000.7
1700,0.9879,85.6469,22496,1701.33
1400,0.9866,118.705,18854.2,1401.15
1100,0.9833,156.761,15115.4,1101.24
1000,0.9834,172.252,13845,1001.39
900,0.9817,191.033,12562.9,901.547
800,0.98,214.541,11263.4,801.652
700,0.9783,245.103,9953,701.881
600,0.9748,285.194,8629.76,602.617
500,0.9704,341.09,7286.3,503.307
400,0.9639,424.788,5910.52,403.196
300,0.9562,562.717,4521.6,304.003
250,0.9508,671.785,3815.86,254.37
200,0.9439,832.769,3104.62,204.944
180,0.9387,919.973,2820.62,185.455
160,0.9325,1025.9,2533.47,165.819
140,0.9263,1163.49,2245.86,146.326
120,0.9168,1343.87,1953.47,126.662
100,0.9061,1579.96,1666.24,107.457
90,0.8979,1732.98,1523.06,97.925
80,0.886,1927.34,1373.55,88.018
70,0.8773,2161.54,1229.31,78.553
60,0.8627,2457.97,1084.98,68.973
55,0.8519,2647.13,1011.45,64.025
50,0.8403,2853.63,938.814,59.129
45,0.8284,3106.91,865.207,54.202
40,0.8145,3396.5,793.178,49.389
35,0.7973,3757.82,720.105,44.52
30,0.7861,3980.14,677.338,41.7
25,0.7861,3982.13,677.338,41.7
20,0.7861,3986.2,677.338,41.7
15,0.7861,3988.6,677.338,41.7
10,0.7861,3995.91,677.338,41.7
