Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!

========== MinHash Configuration ==========
Hash functions: 512
Bits per hash:  2 bits
Signature size: 128 bytes per labelset
LSH bands:      128 bands × 4 hashes/band
Bucket space:   2^8 = 256 buckets per band
Est. memory:    73.2422 MB for 600K labelsets
===========================================

Loaded ground truth: 1000
Example: first query has 100
564323,89037,297427,592500,582600,906363,544421,895508,195130,696134,755306,981820,904873,316898,591361,364374,684022,51953,900763,132931,232403,571954,697821,571084,966103,664101,128302,688625,850097,200413,728343,165737,192228,262886,323107,512682,862651,64858,852714,519030,376137,973730,623109,984892,872138,325283,849747,316959,128344,602971,965189,251242,438785,879730,417948,730449,45844,37267,704064,832063,714147,705880,257457,198505,157442,990488,79053,679315,806136,117104,813630,133829,459887,214867,905235,797461,290413,341058,112236,128579,476308,410900,295852,99741,562885,949044,700554,281421,966683,573776,782383,539868,158171,359176,181561,910009,545027,24169,46841,644372,
ef,recall,qps,dist_comp,hops
3000,0.997608,103.097,14968.9,2294.99
2500,0.996936,119.395,13220.9,1955.22
2000,0.996034,143.054,11317.6,1607.21
1700,0.995289,163.009,10082.4,1389.88
1400,0.994072,191.382,8762.13,1166.05
1100,0.991764,233.073,7332.18,935.767
1000,0.990547,252.777,6825.93,857.648
900,0.989413,275.878,6303.69,778.595
800,0.987598,305.559,5763.99,697.757
700,0.984776,342.014,5199.9,615.568
600,0.981408,390.731,4612.21,532.245
500,0.976089,454.911,3996.21,447.804
400,0.967286,555.151,3342.4,362.079
300,0.953468,714.061,2644.59,275.355
250,0.940804,842.331,2274.06,231.386
200,0.924447,1030.69,1889.08,187.147
180,0.914762,1125.69,1731.62,169.468
160,0.902602,1253.91,1569.58,151.625
140,0.886885,1409.08,1404.08,133.78
120,0.867097,1621.79,1234.19,115.817
100,0.840363,1903.9,1059.19,97.819
90,0.811269,2066.3,969.471,88.749
80,0.757129,2314.03,880.411,79.774
70,0.683874,2593.03,789.012,70.69
60,0.59893,2939.98,700.556,61.832
55,0.552943,3155.77,654.505,57.245
50,0.50596,3392.03,609.676,52.726
45,0.457759,3689.36,563.523,48.167
40,0.408761,4031.14,517.237,43.605
35,0.359291,4445.31,470.416,39.04
30,0.328895,4776.23,440.125,36.116
25,0.328297,4787.5,440.125,36.062
20,0.327668,4766.3,440.123,36.006
15,0.327028,4779.63,440.121,35.944
10,0.326524,4776.14,440.117,35.897
