Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!

========== MinHash Configuration ==========
Hash functions: 512
Bits per hash:  2 bits
Signature size: 128 bytes per labelset
LSH bands:      128 bands × 4 hashes/band
Bucket space:   2^8 = 256 buckets per band
Est. memory:    73.2422 MB for 600K labelsets
===========================================

Loaded ground truth: 1000
Example: first query has 100
748357,328522,945602,442694,336054,536399,3533,779902,944016,748479,832173,369566,64820,596681,367986,732702,395819,225919,372301,580081,796828,415045,306572,776641,959993,580542,213049,713727,582468,641906,841021,692363,566291,673175,412787,115366,757319,850486,702447,943190,768569,648231,812247,905557,787987,153489,614145,949003,366443,946274,305975,15510,79053,973350,229558,809376,376137,402132,895639,19981,364374,192861,570089,614455,288064,797318,391924,255979,915475,436495,114851,859785,187281,298758,796279,50604,195130,23632,704064,628068,197483,128754,413609,435744,639371,684363,523732,866183,138669,284678,607759,225405,281421,59748,157606,885507,241345,869995,314848,539868,
ef,recall,qps,dist_comp,hops
3000,0.999539,532.594,3690.35,1624.44
2500,0.999517,605,3348.29,1424.04
2000,0.999429,699.525,2966.14,1202.7
1700,0.999352,783.874,2710.45,1057.12
1400,0.999242,891.871,2427.52,904.036
1100,0.999067,1057.88,2110.6,741.741
1000,0.998979,1132.7,1995.12,685.507
900,0.998847,1219.99,1873.63,628.132
800,0.998627,1324.9,1745.68,568.593
700,0.998331,1457.86,1610.35,507.624
600,0.998046,1617.95,1465.31,445.61
500,0.997376,1859.8,1307.59,381.002
400,0.9963,2191.73,1135.45,314.55
300,0.994334,2699.44,944.307,244.552
250,0.992687,3089.21,838.572,208.593
200,0.989371,3645.49,724.351,171.718
180,0.987406,3954.62,675.664,156.575
160,0.984815,4316.54,624.686,141.126
140,0.980829,4766.26,572.421,125.54
120,0.974076,5324.78,516.376,109.569
100,0.964381,6079.26,457.291,93.225
90,0.898864,6556.19,427.343,84.921
80,0.810365,7110.01,395.947,76.451
70,0.716794,7798.26,362.812,67.852
60,0.620653,8696.32,328.595,59.147
55,0.57188,9197.95,310.897,54.795
50,0.522844,9811.01,292.5,50.361
45,0.472995,10540.8,273.573,45.908
40,0.422783,11366.7,254.391,41.473
35,0.372221,12433,234.397,37
30,0.321153,13711,213.792,32.538
25,0.269316,15451.9,191.391,27.959
20,0.217041,17605.4,168.585,23.415
15,0.163481,21000.5,144.055,18.789
10,0.109426,25979.1,118.042,14.202
