Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!

========== MinHash Configuration ==========
Hash functions: 512
Bits per hash:  2 bits
Signature size: 128 bytes per labelset
LSH bands:      128 bands × 4 hashes/band
Bucket space:   2^8 = 256 buckets per band
Est. memory:    73.2422 MB for 600K labelsets
===========================================

Loaded ground truth: 1000
Example: first query has 50
713727,796279,19981,946274,153489,859785,566291,412787,23632,255979,187281,841021,15510,614455,225405,973350,435744,288064,50604,639371,192861,943190,570089,128754,915475,628068,413609,436495,949003,704064,885507,364374,229558,797318,241345,314848,197483,809376,79053,684363,305975,376137,281421,895639,391924,850486,539868,114851,298758,195130,
ef,recall,qps,dist_comp,hops
3000,0.999664,532.156,3690.35,1624.44
2500,0.999622,603.123,3348.29,1424.04
2000,0.999538,696.812,2966.14,1202.7
1700,0.999475,778.744,2710.45,1057.12
1400,0.999412,890.999,2427.52,904.036
1100,0.999391,1049.59,2110.6,741.741
1000,0.999244,1125.43,1995.12,685.507
900,0.999265,1208.57,1873.63,628.132
800,0.999097,1316.07,1745.68,568.593
700,0.998971,1442.32,1610.35,507.624
600,0.998845,1610.75,1465.31,445.61
500,0.998572,1846.82,1307.59,381.002
400,0.997922,2169.16,1135.45,314.55
300,0.997082,2682.52,944.307,244.552
250,0.996368,3066.78,838.572,208.593
200,0.994773,3604.41,724.351,171.718
180,0.994059,3896.04,675.664,156.575
160,0.992673,4220.21,624.686,141.126
140,0.990931,4662.12,572.421,125.54
120,0.987824,5239.23,516.376,109.569
100,0.983457,6001.69,457.291,93.225
90,0.98056,6459.63,427.343,84.921
80,0.97613,7034.27,395.947,76.451
70,0.970252,7721.69,362.812,67.852
60,0.962883,8591.65,328.595,59.147
55,0.957571,9134.43,310.897,54.795
50,0.949951,9725.62,292.5,50.361
45,0.888061,10438.6,273.573,45.908
40,0.801461,11246.9,254.391,41.473
35,0.708185,12296.2,234.397,37
30,0.612454,13562.4,213.792,32.538
25,0.513929,15271,191.391,27.959
20,0.414272,17467.8,168.585,23.415
15,0.312074,20769.5,144.055,18.789
10,0.208574,25364,118.042,14.202
