Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 500
866183,843880,225919,64840,19685,760837,602836,64820,789638,84739,136453,693476,781869,423534,945732,31113,395819,862053,442944,418483,561045,735521,186957,414934,846581,50927,658289,57060,379585,621821,917413,786301,990626,8608,309995,213049,9702,512579,224631,725823,914480,541791,817042,860142,455582,475224,45710,630326,689153,523732,779832,319357,51664,138669,114282,211285,756599,647577,551742,380787,59748,884250,670836,1757,632791,898315,176094,160679,682844,3312,612020,869995,728890,238448,73415,949688,460134,128754,432655,38411,543541,394671,983869,703708,602743,86622,669120,358433,390620,528327,692363,348510,96693,285191,755331,324172,795672,827778,943190,102539,103128,669282,568921,947062,107953,372301,172492,423235,318805,609369,704686,588859,566291,56627,673175,346812,803054,940145,771438,59397,823285,672203,713727,187564,988593,863207,556724,781435,499838,604244,241345,732955,277888,771945,163625,543955,891294,66968,719256,934812,727311,178170,774340,946274,499013,487461,760737,809871,646029,669235,585581,756314,337706,319542,955148,628068,436424,426974,196914,689216,831795,343838,277963,19648,128283,977527,757319,829953,871538,19981,878141,943729,486431,88766,659629,425182,503340,131313,91636,658309,412787,206079,702447,188411,796279,404655,940135,414293,323696,753285,397770,881359,628087,23632,457831,571084,941190,285790,606663,620351,187281,701731,347230,925643,777849,328264,831787,426608,305065,558186,807741,912718,891885,360006,634740,545441,305660,199919,153489,325283,701961,687339,677001,114851,115366,212848,973350,641906,580542,283578,913158,697257,392619,429360,841021,631959,621446,589416,253390,58857,928677,59462,754384,15100,206047,983703,532743,7481,859078,991771,197483,15510,915475,797461,147736,614455,605444,290413,598226,850486,571954,582600,262886,899836,707142,64858,192228,581299,391924,697821,956907,887313,208795,545027,464416,850097,214867,770912,573776,599758,541533,796668,768615,17484,68697,778254,347003,542207,710963,382846,753645,684363,679617,859785,323107,591361,128302,255979,949003,435744,372291,704064,834038,503696,473629,37267,730324,904873,78607,359176,539868,79053,232403,157442,670670,79416,376137,852714,732188,989637,348451,295852,679315,229558,128344,876946,710956,527067,436495,158171,826926,562885,965189,398013,780262,602971,978527,410900,717731,85913,178548,225405,281421,879730,644372,316959,797318,496640,696134,89037,981820,910009,570089,976338,181368,339404,544421,703195,459887,176056,297427,301902,900763,966683,457400,418608,864299,407289,949044,971595,532575,714147,391942,809376,931409,895508,890985,281014,144641,45844,98191,777238,133829,5004,629576,731975,504012,966103,252818,99741,512682,46841,417948,24169,414512,688625,818353,832063,765159,49539,198505,2198,646481,316898,730449,592500,532265,668280,103684,407961,257457,50604,935970,364374,251242,718999,650482,728343,849747,349245,298758,367114,195130,51495,579510,485659,928181,885507,547444,51953,453418,734183,862651,314848,200131,153725,132931,782383,984892,519030,341058,895639,181561,112236,305975,399355,906363,905235,877751,397085,786375,528464,552892,835159,872138,413609,116693,684022,974901,56880,117104,128579,265625,755306,872778,874097,146188,700554,210375,931533,294850,862221,973730,211687,522419,192861,165737,646527,193010,813630,639371,659667,288064,623109,200413,390264,763037,990488,806136,372660,876969,304928,617410,564323,664101,185765,123982,438785,705880,476308,
ef,recall,qps,dist_comp,hops
3000,0.995981,98.4827,15022.7,2294.98
2500,0.994543,114.116,13265.6,1955.26
2000,0.992265,136.386,11353.9,1607.18
1700,0.989997,155.996,10112.3,1389.86
1400,0.986502,183.296,8786.2,1166.01
1100,0.980041,223.343,7352.29,935.835
1000,0.976783,242.415,6843.16,857.648
900,0.972748,264.237,6318.45,778.599
800,0.967236,291.633,5776.58,697.752
700,0.959639,327.654,5211.61,615.585
600,0.949412,373.245,4621.96,532.228
500,0.93355,436.651,4003.36,447.854
400,0.803887,530.42,3347.11,362.067
300,0.612803,682.536,2647.34,275.36
250,0.514658,804.718,2279.16,231.559
200,0.415285,978.75,1896.1,187.552
180,0.375309,1073.03,1737.21,169.797
160,0.33516,1196.05,1574.01,151.92
140,0.294746,1336.85,1407.66,134.018
120,0.254009,1529.09,1236.73,115.997
100,0.21308,1808.95,1061.99,97.999
90,0.192484,1975.99,973.001,88.991
80,0.171744,2179.28,883.63,79.966
70,0.150902,2442.3,793.812,70.994
60,0.129956,2775.17,702.496,61.948
55,0.119439,2972.09,656.63,57.388
50,0.108888,3209.09,610.912,52.832
45,0.0982971,3461.27,564.632,48.236
40,0.08765,3813.51,517.606,43.633
35,0.0769515,4213.6,471.16,39.12
30,0.0704438,4497.75,441.885,36.278
25,0.0703163,4515.02,441.881,36.221
20,0.0701821,4414.87,441.879,36.164
15,0.0700457,4453.32,441.877,36.105
10,0.0699384,4505.6,441.875,36.059
