Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 500
246123,578143,809497,6939,640000,730825,829019,455871,499962,583972,299890,675064,343075,372422,90449,426657,2098,490329,51168,570012,584636,56422,310141,317845,695914,397247,34119,770982,379964,840311,905021,215505,207178,863720,230368,475261,498691,504370,509287,270122,11748,132268,591481,295312,906488,908463,646418,657521,326538,694293,714547,343696,347388,754375,880557,368841,794805,195350,989565,202647,841656,98457,211513,102446,418653,217917,222528,442282,447632,113109,457977,469047,977230,11,977025,121381,124427,263988,254061,539432,556784,566053,274866,24506,131178,287645,978831,599009,602515,611469,615378,307040,902913,13870,656187,165104,669157,69515,327943,14232,875593,176948,871718,717431,79123,736222,348459,34112,356576,362838,769108,777791,369575,789884,195552,799727,806985,37923,382280,36418,838205,205415,850860,853158,990497,210517,407567,408554,21591,413667,418763,421515,423468,963594,221647,441349,442584,0,445213,46459,230002,917698,907240,468548,469378,242868,907922,243898,960736,491516,245969,499257,502940,250964,506175,124999,509815,263962,124540,266924,539311,127563,53045,560293,273974,569524,276739,919747,25316,284678,583577,135199,286777,592266,290832,292359,599486,29253,607003,611620,150580,615056,617026,303759,623474,59608,154159,640023,155700,312832,654451,657905,664389,159104,672983,681189,323474,689474,693170,693479,330604,330716,175048,175081,868572,336076,715517,71825,724158,725116,336952,735511,181717,185096,744501,349805,350687,752105,940116,3298,764848,901692,770544,190883,3533,778402,34992,780523,793962,794082,194501,372948,806437,88527,983186,377054,813216,980704,196080,833627,385377,390643,835063,950371,916763,394462,204735,866025,855664,980286,402132,404514,405314,405342,98864,213049,214719,412787,413609,100116,415045,38886,216976,38300,105419,220904,423629,107972,427535,435744,436495,225405,44911,225919,442694,108621,443507,229558,965333,450631,919008,451891,894404,114851,240552,234775,400750,241345,468463,115366,946274,242471,473596,49603,477802,478704,485238,486173,928515,119855,495395,497563,941156,50604,246930,246311,970500,980460,957204,505498,253462,23632,915696,255979,520552,520900,869175,523732,536399,51694,537982,268382,944016,539868,542931,271606,933721,128754,273217,945344,869995,566291,2803,858050,570089,281421,575711,578544,579933,580081,580542,582468,285862,583826,56535,948974,905557,288064,136655,594430,596681,597188,57336,291638,597516,138669,603985,292925,607759,28721,298339,612636,614145,614455,298758,152293,944751,153489,628068,305975,631656,306572,633655,639371,897310,59748,641906,945602,648231,157606,650968,312754,651269,314848,314911,724,663950,60465,671852,322989,673175,64196,949003,684363,684463,169182,882467,692363,328522,64820,943190,694853,915475,696135,698823,700652,702447,704064,704950,336054,711941,713727,895639,30624,716643,15510,717101,721755,341171,180053,728460,987433,731286,79053,732702,345174,740048,740172,741863,962134,747134,862811,748357,748479,750875,187281,866183,757319,760657,762942,764132,363484,859785,364374,768569,366443,769786,367986,191015,776641,973350,369566,779181,930943,779902,192861,787987,370599,370735,372301,83143,796279,796828,195130,797318,374577,802032,18265,807893,376137,809376,812247,812887,87699,813592,380836,814585,831218,832173,197483,832910,834031,834222,19981,834875,386539,839557,96112,840771,391924,841021,850486,393766,851288,851368,395819,959993,34842,856833,885507,
ef,recall,qps,dist_comp,hops
3000,0.999179,459.704,3691.01,1624.45
2500,0.998987,523.43,3348.77,1424.04
2000,0.998613,608.034,2966.83,1202.7
1700,0.998252,700.02,2710.98,1057.11
1400,0.99756,777.229,2427.95,904.028
1100,0.996267,965.223,2111,741.747
1000,0.995559,1074.6,1995.31,685.507
900,0.99462,1162.6,1873.72,628.123
800,0.993309,1259.2,1745.79,568.591
700,0.991214,1394.94,1610.39,507.624
600,0.987744,1559.19,1465.32,445.607
500,0.981743,1782,1307.69,381.012
400,0.824545,2090.22,1135.57,314.551
300,0.639967,2564.46,944.363,244.544
250,0.545098,2946.43,838.695,208.594
200,0.447639,3446.46,724.381,171.717
180,0.40755,3719.92,675.658,156.565
160,0.366608,4059.77,624.83,141.124
140,0.325132,4445.93,572.358,125.517
120,0.282998,4939.42,516.535,109.579
100,0.239726,5665.38,457.478,93.23
90,0.217534,6111.27,427.416,84.919
80,0.195036,6635.95,395.836,76.436
70,0.172122,7262.98,362.873,67.849
60,0.14889,8075.18,328.586,59.146
55,0.137169,8574.9,310.898,54.791
50,0.125382,9122.35,292.461,50.36
45,0.113418,9815.97,273.521,45.902
40,0.101365,10558.8,254.365,41.476
35,0.0892357,11504.3,234.319,36.992
30,0.0769905,12687.9,213.636,32.518
25,0.0645637,14105.1,191.292,27.938
20,0.0520316,16046.2,168.637,23.409
15,0.0392678,19137.5,144.22,18.805
10,0.0263014,24084,118.134,14.209
