Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
112236,410900,700554,879730,813630,797461,46841,990488,905235,644372,
ef,recall,qps,dist_comp,hops
3000,0.9986,62.7686,19995.6,2295.03
2500,0.9985,76.5252,17833.1,1955.09
2000,0.9978,101.327,15458,1607.21
1700,0.9977,100.259,13893.2,1389.96
1400,0.9974,125.666,12192,1165.9
1100,0.9967,146.417,10332.2,935.718
1000,0.9965,153.844,9665.86,857.595
900,0.9965,167.314,8973.02,778.532
800,0.9957,183.811,8254.21,697.664
700,0.9951,205.682,7495.6,615.465
600,0.9943,233.86,6698.29,532.053
500,0.9929,272.742,5855.37,447.573
400,0.9901,329.13,4946.1,361.766
300,0.9853,419.557,3963.11,274.953
250,0.982,491.247,3438.84,231.115
200,0.9757,593.231,2880.31,186.801
180,0.9724,651.025,2648.85,169.013
160,0.9688,717.968,2409.64,151.047
140,0.9644,809.282,2164.35,133.101
120,0.9588,919.305,1909.93,115.04
100,0.9481,1083.36,1647.22,96.992
90,0.9422,1186.95,1510.22,87.837
80,0.9346,1310.62,1375.56,78.769
70,0.9257,1455.97,1234.88,69.665
60,0.9137,1668.56,1092.51,60.499
55,0.9077,1791.3,1020.38,55.883
50,0.9002,1941.28,948.667,51.259
45,0.8907,2108.13,876.138,46.691
40,0.879,2319.33,800.206,42.067
35,0.8648,2540,725.186,37.463
30,0.8536,2759.54,678.503,34.645
25,0.8535,2756.33,678.497,34.586
20,0.8535,2759.42,678.495,34.526
15,0.8535,2755.43,678.495,34.465
10,0.8534,2760.26,678.493,34.419
