Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
387223,256019,153229,216997,177328,974198,359903,768297,308241,435667,
ef,recall,qps,dist_comp,hops
3000,0.9972,30.5098,59994.4,3000.17
2500,0.9973,36.0946,51616.6,2500.48
2000,0.9972,44.2527,42812.8,2000.45
1700,0.9967,55.822,37322,1700.83
1400,0.9964,62.5519,31599.9,1400.58
1100,0.9958,78.4246,25647.7,1100.86
1000,0.9956,85.7218,23591.8,1000.77
900,0.9954,101.093,21507.3,900.888
800,0.9955,124.048,19382,800.901
700,0.9948,140.466,17225.7,701.176
600,0.9939,162.745,15027.2,601.769
500,0.9924,194.168,12754.3,501.505
400,0.9907,240.073,10433.9,401.774
300,0.9894,315.256,8056,302.407
250,0.9877,375.906,6827.02,252.576
200,0.9856,465.005,5581.48,202.904
180,0.9834,513.431,5072.97,183.085
160,0.9816,573.385,4558.97,163.248
140,0.9796,650.853,4042.38,143.529
120,0.9753,752.578,3521.56,123.87
100,0.9704,890.319,2987.7,104.039
90,0.9667,980.298,2719.84,94.166
80,0.9632,1091.99,2453.87,84.42
70,0.9583,1232.67,2182.36,74.58
60,0.9528,1410.32,1917.01,64.974
55,0.9477,1509.57,1781.29,60.039
50,0.9421,1639.85,1644.1,55.122
45,0.9353,1800.69,1508.3,50.251
40,0.9272,1990.41,1371.13,45.393
35,0.9171,2220.71,1233.42,40.523
30,0.9075,2389.4,1149.55,37.589
25,0.9075,2384.15,1149.55,37.589
20,0.9075,2367.87,1149.55,37.589
15,0.9075,2389.68,1149.55,37.589
10,0.9075,2388.01,1149.55,37.589
