Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
112236,410900,700554,879730,813630,797461,46841,990488,905235,644372,
ef,recall,qps,dist_comp,hops
3000,0.997,191.033,14430.4,2287.73
2500,0.9963,219.075,12742.6,1949.15
2000,0.9958,260.277,10898,1602.08
1700,0.9948,294.584,9708.82,1385.9
1400,0.9939,344.626,8430.43,1162.34
1100,0.9913,417.289,7047.87,932.867
1000,0.9905,453.346,6558.17,854.769
900,0.9897,497.46,6050.03,776.022
800,0.9873,545.892,5529.57,695.452
700,0.9854,611.65,4985.87,613.538
600,0.9824,697.222,4421.38,530.408
500,0.9784,813.637,3827.43,446.19
400,0.9721,983.82,3196.47,360.763
300,0.9614,1268.1,2523.81,274.344
250,0.9533,1487.89,2170.91,230.727
200,0.9442,1798.46,1805.43,186.848
180,0.9395,1976.83,1654.15,169.122
160,0.9309,2191.26,1497.49,151.331
140,0.9203,2462.82,1337.04,133.522
120,0.91,2817.75,1174.11,115.485
100,0.8956,3295.47,1008.8,97.638
90,0.8861,3604.68,923.685,88.65
80,0.8741,3990.32,839.075,79.656
70,0.8615,4462.13,753.426,70.72
60,0.8445,5056.02,665.632,61.681
55,0.8346,5391.03,621.652,57.168
50,0.8214,5834.95,580.022,52.64
45,0.8092,6336.58,535.067,48.005
40,0.791,6896.58,490.429,43.47
35,0.7733,7581.81,446.029,38.979
30,0.7607,8115.8,418.888,36.148
25,0.7607,8150.73,418.585,36.102
20,0.7606,8155.44,418.953,36.041
15,0.7606,8151.2,418.559,36
10,0.7605,8157.96,418.62,35.927
