batch,cold_frac,scenario,recall,qps,dist_comp,hops,insertion_time_s,index_size_bytes,num_vectors
init,,containment,0.954383,760.355,2373.8,399.771,,462243880,2500000
init,,equality,0.962376,3029.58,925.102,331.758,,462243880,2500000
init,,overlap,0.871912,541.47,5024.96,496.962,,462243880,2500000
B0,0,containment,0.952887,766.457,2471.62,407.448,85.5699,545566432,3000000
B0,0,equality,0.964797,3009.9,979.978,342.899,85.5699,545566432,3000000
B0,0,overlap,0.874708,553.633,5076.58,498.067,85.5699,545566432,3000000
B1,0.25,containment,0.95036,710.944,2562.35,417.255,83.6927,627765028,3500000
B1,0.25,equality,0.966124,2771.88,1019.39,351.354,83.6927,627765028,3500000
B1,0.25,overlap,0.870241,519.869,5143.34,501.012,83.6927,627765028,3500000
B2,0.065,containment,0.949857,674.52,2634.42,423.065,88.8065,711668112,4000000
B2,0.065,equality,0.9661,2760.99,1058.14,359.074,88.8065,711668112,4000000
B2,0.065,overlap,0.87301,529.621,5186.94,502.163,88.8065,711668112,4000000
B3,0,containment,0.952127,691.118,2697.32,427.389,91.1348,796516452,4500000
B3,0,equality,0.965177,2710.67,1097.01,365.898,91.1348,796516452,4500000
B3,0,overlap,0.873315,524.672,5226.13,502.739,91.1348,796516452,4500000
B4,0,containment,0.9497,654.053,2754.02,430.824,91.8906,881778172,5000000
B4,0,equality,0.9616,2562.91,1129.5,371.775,91.8906,881778172,5000000
B4,0,overlap,0.8636,505.443,5264.06,503.135,91.8906,881778172,5000000
FI0,0,containment,0.951487,746.781,2464.18,406.895,133.369,540378292,2968542
FI0,0,equality,0.967109,2832.05,978.887,342.502,133.369,540378292,2968542
FI0,0,overlap,0.8677,534.556,5079.72,498.208,133.369,540378292,2968542
FI1,0,containment,0.951166,755.497,2445.02,408.015,73.3,533509500,2968542
FI1,0,equality,0.964882,2952.5,966.518,340.103,73.3,533509500,2968542
FI1,0,overlap,0.8635,540.21,5068.88,500.874,73.3,533509500,2968542
FI2,0,containment,0.950663,792.815,2426.6,408.465,110.308,526651216,2968542
FI2,0,equality,0.963703,3110.47,954.101,337.521,110.308,526651216,2968542
FI2,0,overlap,0.8585,564.264,5060.56,502.783,110.308,526651216,2968542
FI3,0,containment,0.948491,816.771,2408.81,408.362,94.8291,520039408,2968542
FI3,0,equality,0.962963,3248.29,939.014,334.963,94.8291,520039408,2968542
FI3,0,overlap,0.8554,581.094,5042.99,503.397,94.8291,520039408,2968542
FI4,0,containment,0.947474,798.561,2385.27,406.767,79.9222,513654012,2968542
FI4,0,equality,0.964569,3225.71,925.938,332.501,79.9222,513654012,2968542
FI4,0,overlap,0.8507,565.23,5039.25,504.047,79.9222,513654012,2968542
