batch,cold_frac,scenario,recall,qps,dist_comp,hops,insertion_time_s,index_size_bytes,num_vectors
init,,containment,0.954978,829.091,2375.8,399.856,,462488620,2500000
init,,equality,0.962772,3263.47,924.376,331.708,,462488620,2500000
init,,overlap,0.876693,585.97,5017.82,496.489,,462488620,2500000
B0,0,containment,0.955043,740.291,2470.96,407.368,142.094,545875152,3000000
B0,0,equality,0.96529,2817.29,981.791,343.017,142.094,545875152,3000000
B0,0,overlap,0.87287,537.458,5071.89,497.898,142.094,545875152,3000000
B1,0.25,containment,0.952334,697.901,2561,417.266,136.999,628071664,3500000
B1,0.25,equality,0.965691,2752.43,1019.25,351.399,136.999,628071664,3500000
B1,0.25,overlap,0.869813,514.59,5130.19,500.475,136.999,628071664,3500000
B2,0.065,containment,0.951848,716.639,2632.53,423.099,145.407,711924980,4000000
B2,0.065,equality,0.966604,2784.3,1058.77,359.222,145.407,711924980,4000000
B2,0.065,overlap,0.874514,541.339,5176.77,501.807,145.407,711924980,4000000
B3,0,containment,0.952682,642.619,2694.96,427.253,148.077,796771164,4500000
B3,0,equality,0.965961,2501.49,1097.58,365.984,148.077,796771164,4500000
B3,0,overlap,0.873315,492.946,5217.55,502.422,148.077,796771164,4500000
B4,0,containment,0.9494,618.728,2751.43,430.769,149.285,882043260,5000000
B4,0,equality,0.9619,2447.66,1132.57,372.086,149.285,882043260,5000000
B4,0,overlap,0.8657,477.854,5263.93,503.281,149.285,882043260,5000000
FI0,0,containment,0.951085,759.211,2465.57,406.861,80.7662,540585232,2968542
FI0,0,equality,0.967007,2926.86,979.175,342.588,80.7662,540585232,2968542
FI0,0,overlap,0.865,537.301,5065.36,497.471,80.7662,540585232,2968542
FI1,0,containment,0.953879,793.903,2447.76,408.1,103.185,533794652,2968542
FI1,0,equality,0.966603,3090,966.747,340.139,103.185,533794652,2968542
FI1,0,overlap,0.8646,568.774,5066.67,500.606,103.185,533794652,2968542
FI2,0,containment,0.95217,781.027,2425.25,408.478,105.996,526879552,2968542
FI2,0,equality,0.966035,3065.83,953.019,337.396,105.996,526879552,2968542
FI2,0,overlap,0.86,555.189,5056.12,502.613,105.996,526879552,2968542
FI3,0,containment,0.949899,763.676,2407.26,408.34,96.3124,520242200,2968542
FI3,0,equality,0.966007,3064.29,940.38,335.169,96.3124,520242200,2968542
FI3,0,overlap,0.8575,538.651,5042.64,503.371,96.3124,520242200,2968542
FI4,0,containment,0.950191,812.928,2386.61,406.813,80.8145,513882748,2968542
FI4,0,equality,0.966294,3200.6,925.218,332.451,80.8145,513882748,2968542
FI4,0,overlap,0.855,577.917,5033.17,503.683,80.8145,513882748,2968542
