Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
436495,809376,314848,539868,195130,364374,79053,281421,376137,704064,
ef,recall,qps,dist_comp,hops
1700,0.9995,727.913,2711.02,1057.12
1400,0.9995,834.558,2427.69,904.032
1100,0.9995,986.29,2110.97,741.757
1000,0.9996,1054.6,1995.39,685.522
900,0.9995,1133.13,1873.68,628.132
800,0.9995,1234.89,1745.61,568.592
700,0.9992,1362.41,1610.18,507.629
600,0.9992,1518.76,1465.22,445.606
500,0.9989,1732,1307.51,381.009
400,0.9988,1990.18,1135.33,314.549
300,0.9988,2500.71,944.237,244.55
250,0.9983,2868.93,838.737,208.598
200,0.9979,3379.12,724.41,171.72
180,0.9976,3654.63,675.818,156.583
160,0.9974,3961.12,624.848,141.136
140,0.996,4391.4,572.377,125.527
120,0.9952,4907.24,516.552,109.573
100,0.9948,5594.94,457.4,93.236
90,0.9934,6022.33,427.594,84.94
80,0.9917,6542.1,395.992,76.457
70,0.9897,7199.15,362.928,67.852
60,0.9879,8009.68,328.667,59.15
55,0.9862,8497.69,310.954,54.794
50,0.9841,9028.23,292.599,50.365
45,0.9816,9641.39,273.638,45.913
40,0.9785,10348.2,254.406,41.474
35,0.9745,11305.4,234.524,37.005
30,0.9698,12571.4,213.9,32.541
25,0.9591,14185.6,191.473,27.961
20,0.9423,16318.1,168.606,23.413
15,0.9193,19320.6,144.2,18.804
10,0.8747,23908.5,118.024,14.195
