Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
387223,256019,153229,216997,177328,974198,359903,768297,308241,435667,
ef,recall,qps,dist_comp,hops
1700,0.9941,91.8793,23212.1,1701.26
1400,0.9933,111.189,19438.3,1400.96
1100,0.9915,140.854,15567.2,1100.99
1000,0.9908,154.982,14252.7,1001.11
900,0.9902,171.965,12926,901.261
800,0.9892,193.756,11585.8,801.483
700,0.9882,220.597,10230.1,701.647
600,0.9864,256.962,8860.75,602.257
500,0.9843,307.665,7464.99,502.284
400,0.981,384.259,6053.26,402.71
300,0.9751,508.24,4627.01,303.726
250,0.972,606.523,3898.54,254.006
200,0.967,751.168,3168.55,204.687
180,0.9648,833.648,2873.8,185.021
160,0.9606,925.005,2577.28,165.314
140,0.9575,1052.62,2283.11,145.886
120,0.9512,1215.97,1987.69,126.442
100,0.9445,1435.76,1686.95,106.828
90,0.9394,1583.33,1536.97,97.093
80,0.9338,1755.9,1386.83,87.406
70,0.926,1973.3,1235.65,77.67
60,0.917,2249.41,1088.92,68.153
55,0.9126,2390.65,1016.98,63.398
50,0.9042,2616.34,941.739,58.452
45,0.8966,2840.78,867.451,53.564
40,0.8862,3116.12,794.55,48.802
35,0.8726,3458.47,721.027,44.006
30,0.8609,3701.4,675.439,41.041
25,0.8609,3697.54,675.439,41.041
20,0.8609,3697.74,675.439,41.041
15,0.8609,3691.73,675.439,41.041
10,0.8609,3696.54,675.439,41.041
