Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
3449742,4216491,1464914,1240200,3682961,1664400,1247207,2004980,3409268,3451470,
ef,recall,qps,dist_comp,hops
1700,0.9833,241.449,6849.56,1264.34
1400,0.9823,281.679,5980.14,1069.57
1100,0.9803,342.205,5033.33,867.873
1000,0.9793,366.389,4697.69,798.505
900,0.9791,401.106,4353.59,727.739
800,0.9772,443.645,3992.44,655.627
700,0.975,494.524,3618.35,582.086
600,0.9726,562.735,3230.91,507.275
500,0.9708,646.346,2824.51,431.007
400,0.9672,786.233,2395.4,352.278
300,0.9622,998.278,1937.47,271.184
250,0.9575,1148.65,1695.84,229.748
200,0.9513,1397.15,1435.21,187.087
180,0.9483,1523.24,1330.45,170.121
160,0.9443,1677.64,1218.94,152.754
140,0.9391,1863.2,1106.09,135.27
120,0.9311,2103.69,985.688,117.556
100,0.9225,2452.5,864.111,99.827
90,0.9146,2606.13,798.573,90.541
80,0.9088,2927.04,731.499,81.376
70,0.9017,3239.82,666.483,72.351
60,0.8932,3628.91,598.63,63.144
55,0.8875,3875.68,564.718,58.498
50,0.8806,4124.71,529.461,53.805
45,0.8705,4436.91,492.571,49.025
40,0.8583,4813.25,455.239,44.22
35,0.846,5083.8,418.496,39.571
30,0.8384,5499.81,395.85,36.626
25,0.8376,5570.36,395.474,36.256
20,0.8372,5599.66,395.187,35.943
15,0.8368,5602.93,394.987,35.68
10,0.8358,5615.93,394.813,35.484
