Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
436495,809376,314848,539868,195130,364374,79053,281421,376137,704064,
ef,recall,qps,dist_comp,hops
20000,0.9997,169.569,8642.93,5590.74
15000,0.9997,197.036,7792.6,4699.9
10000,0.9997,246.044,6616.84,3624.82
5000,0.9997,370.423,4794.02,2304.5
2500,0.9997,570.959,3348.66,1424.04
2000,0.9996,658.402,2966.72,1202.7
1700,0.9994,735.28,2711.09,1057.12
1400,0.9994,838.266,2427.95,904.028
1100,0.9996,988.345,2110.95,741.741
1000,0.9996,1058.36,1995.26,685.501
900,0.9996,1138.93,1873.8,628.122
800,0.9994,1231.65,1745.84,568.581
700,0.9992,1360.26,1610.43,507.62
600,0.9992,1514.9,1465.42,445.586
500,0.999,1732.71,1307.57,380.981
400,0.9987,2032.88,1135.47,314.546
300,0.9988,2493.7,944.279,244.535
250,0.9984,2869.73,838.635,208.587
200,0.9977,3371.6,724.382,171.709
180,0.9975,3652.89,675.708,156.568
160,0.9973,3981.15,624.73,141.11
140,0.996,4391.08,572.388,125.509
120,0.9951,4909.58,516.567,109.566
100,0.9948,5604.21,457.442,93.227
90,0.9935,6032.96,427.484,84.92
80,0.992,6559.29,395.972,76.442
70,0.9898,7200.23,362.928,67.85
60,0.9882,8027.26,328.67,59.149
55,0.9862,8495.27,310.878,54.79
50,0.9838,9089.82,292.472,50.354
45,0.9819,9784.43,273.631,45.909
40,0.9788,10539.1,254.376,41.472
35,0.9747,11491.2,234.398,36.994
30,0.9696,12679,213.659,32.509
25,0.9595,14021.1,191.52,27.965
20,0.9432,16179.8,168.73,23.423
15,0.9189,19166,143.976,18.779
10,0.8753,23934.6,117.937,14.19
