Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
387223,256019,153229,216997,177328,974198,359903,768297,308241,435667,
ef,recall,qps,dist_comp,hops
20000,0.9984,10.1796,170059,20000.5
15000,0.9978,13.6243,137599,15001.1
10000,0.9979,18.7424,100677,10000.4
5000,0.9971,35.9902,57592.1,5000.43
2500,0.9946,60.5202,31729.5,2500.54
2000,0.9941,75.2955,26007.1,2000.33
1700,0.9935,87.8607,22493.2,1701.17
1400,0.9926,105.855,18869.9,1400.83
1100,0.9914,133.612,15151.8,1101.02
1000,0.9912,147.304,13885.8,1001.06
900,0.9906,163.509,12606.6,901.282
800,0.9891,198.017,11311.9,801.454
700,0.9889,237.441,10002.7,701.609
600,0.9863,277.615,8678.1,602.376
500,0.9836,331.557,7327.86,502.639
400,0.9796,412.542,5953.8,402.912
300,0.9727,545.016,4557.08,303.507
250,0.9673,648.504,3849.85,254.09
200,0.9629,704.495,3137.11,204.869
180,0.9602,781.076,2846.76,185.143
160,0.9566,864.332,2555.55,165.396
140,0.95,1104.38,2260.1,145.575
120,0.9427,1296.45,1969.56,126.211
100,0.9333,1531.77,1672.06,106.564
90,0.9265,1677.55,1522.61,96.743
80,0.9184,1855.21,1374.9,87.082
70,0.907,1982.53,1225.08,77.343
60,0.8916,2120.17,1075.71,67.56
55,0.8834,2279.78,1004.15,62.801
50,0.8759,2462.77,929.847,57.87
45,0.8676,2760.17,857.024,53.049
40,0.8556,3304.04,784.615,48.282
35,0.8411,3681.1,713.535,43.629
30,0.8277,3898.75,668.602,40.693
25,0.8277,3927.36,668.602,40.693
20,0.8277,3929.06,668.602,40.693
15,0.8277,3928.27,668.602,40.693
10,0.8277,3928.57,668.602,40.693
