Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
436495,809376,314848,539868,195130,364374,79053,281421,376137,704064,
ef,recall,qps,dist_comp,hops
20000,0.9998,177.506,8642.2,5590.85
15000,0.9997,206.538,7791.9,4699.9
10000,0.9997,257.864,6615.84,3624.84
5000,0.9998,389.154,4793.25,2304.51
2500,0.9998,599.102,3348.06,1424.03
2000,0.9996,694.596,2966.22,1202.69
1700,0.9996,773.086,2710.33,1057.1
1400,0.9995,884,2427.02,904.02
1100,0.9994,1042.76,2110.32,741.747
1000,0.9994,1109.34,1994.72,685.496
900,0.9994,1198.19,1873.07,628.114
800,0.9993,1300.64,1745.21,568.582
700,0.9991,1429.67,1609.67,507.601
600,0.9993,1592.38,1464.79,445.578
500,0.999,1819.45,1307.09,380.983
400,0.9986,2140.25,1134.84,314.529
300,0.9986,2631.09,943.784,244.524
250,0.9982,3018.55,838.148,208.567
200,0.9977,3552.12,723.928,171.692
180,0.9978,3835.88,675.416,156.57
160,0.9975,4187.82,624.398,141.114
140,0.9962,4613.55,572.024,125.507
120,0.995,5162.94,516.193,109.559
100,0.9948,5889.13,457.092,93.209
90,0.9936,6337.91,427.127,84.906
80,0.9919,6895.67,395.68,76.441
70,0.9896,7576.11,362.472,67.836
60,0.9879,8437.03,328.274,59.128
55,0.9864,8952.87,310.734,54.79
50,0.984,9545.54,292.292,50.356
45,0.9815,10240.5,273.213,45.887
40,0.9788,11100.1,254.163,41.469
35,0.9746,12150.3,234.197,36.995
30,0.9694,13371.9,213.433,32.518
25,0.959,15028,191.187,27.948
20,0.9422,17164.4,168.449,23.416
15,0.9196,20374.7,143.915,18.784
10,0.8742,25388,117.777,14.176
