Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
436495,809376,314848,539868,195130,364374,79053,281421,376137,704064,
ef,recall,qps,dist_comp,hops
20000,0.9997,167.267,8642.65,5590.7
15000,0.9997,194.577,7792.7,4699.91
10000,0.9997,242.116,6616.99,3624.84
5000,0.9997,376.565,4794.21,2304.52
2500,0.9997,580.67,3348.47,1424.05
2000,0.9997,672.225,2966.38,1202.71
1700,0.9996,725.654,2710.26,1057.11
1400,0.9996,829.253,2427.19,904.03
1100,0.9994,976.261,2110.63,741.74
1000,0.9995,1043.55,1995.04,685.508
900,0.9995,1120.47,1873.41,628.123
800,0.9994,1216.5,1745.5,568.588
700,0.9991,1329.9,1610.08,507.621
600,0.9993,1486.55,1464.9,445.595
500,0.999,1694.14,1307.19,380.989
400,0.9986,1987.61,1135.08,314.538
300,0.9988,2440.33,943.861,244.53
250,0.9983,2787.07,838.335,208.586
200,0.9978,3246.19,723.933,171.695
180,0.9978,3526.73,675.411,156.571
160,0.9973,3846.96,624.411,141.118
140,0.9959,4234.87,572.02,125.513
120,0.995,4725.16,516.221,109.569
100,0.9946,5366.39,457.249,93.231
90,0.9935,5827.02,427.188,84.91
80,0.9919,6294.68,395.767,76.446
70,0.9897,6916.64,362.703,67.852
60,0.9879,7694.84,328.419,59.142
55,0.9861,8152.61,310.78,54.791
50,0.9842,8713.62,292.43,50.368
45,0.9816,9369.88,273.422,45.904
40,0.9785,10077.2,254.278,41.474
35,0.9747,11017,234.252,36.989
30,0.9698,12161.4,213.629,32.522
25,0.9595,13649.4,191.299,27.946
20,0.9413,15662.8,168.296,23.375
15,0.9183,18603.3,143.786,18.755
10,0.8739,23140.2,117.702,14.161
