Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
436495,809376,314848,539868,195130,364374,79053,281421,376137,704064,
ef,recall,qps,dist_comp,hops
20000,0.9996,165.196,8642.6,5590.78
15000,0.9996,191.613,7792.22,4699.86
10000,0.9996,239.319,6616.52,3624.84
5000,0.9998,359.819,4793.24,2304.51
2500,0.9996,553.962,3348.14,1424.05
2000,0.9996,641.228,2965.86,1202.7
1700,0.9997,713.877,2710.26,1057.13
1400,0.9996,813.956,2427.14,904.026
1100,0.9995,960.17,2110.27,741.729
1000,0.9995,1023.37,1994.78,685.507
900,0.9995,1102.83,1873.27,628.122
800,0.9993,1199.13,1745.45,568.575
700,0.9991,1317.51,1610.22,507.619
600,0.9991,1468.65,1465.14,445.594
500,0.9991,1674.93,1307.26,380.981
400,0.9985,1970.1,1135.27,314.533
300,0.9988,2424.91,944.208,244.532
250,0.9983,2784.47,838.508,208.586
200,0.9977,3275.35,724.251,171.701
180,0.9978,3537.47,675.635,156.56
160,0.9974,3856.25,624.596,141.108
140,0.9961,4250.68,572.231,125.51
120,0.9953,4746.89,516.438,109.569
100,0.9947,5392.21,457.244,93.213
90,0.9933,5850.17,427.229,84.898
80,0.9919,6346.54,395.825,76.434
70,0.9899,6987.76,362.722,67.839
60,0.9878,7786.56,328.372,59.127
55,0.9862,8255.08,310.844,54.788
50,0.9841,8809.92,292.377,50.347
45,0.9817,9475.43,273.488,45.896
40,0.9786,10230,254.224,41.452
35,0.9747,11189.8,234.269,36.979
30,0.9701,12307,213.58,32.506
25,0.9592,13847.5,191.209,27.932
20,0.9425,15862.1,168.518,23.397
15,0.9188,18899.1,143.993,18.775
10,0.8751,23495.1,117.893,14.182
