Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
3449742,4216491,1464914,1240200,3682961,1664400,1247207,2004980,3409268,3451470,
ef,recall,qps,dist_comp,hops
20000,0.9864,44.9361,31337.2,9182.2
15000,0.9856,56.2129,26983.9,7333.46
10000,0.9842,76.5779,21471.1,5321.32
5000,0.9816,125.954,14150,3062.85
2500,0.9757,213.759,8946.63,1749.25
2000,0.973,253.985,7666.38,1451.77
1700,0.9712,298.966,6850.11,1263.55
1400,0.9691,349.588,5970.94,1069.1
1100,0.9669,424.254,5016.64,867.677
1000,0.9657,459.132,4679.27,798.474
900,0.9643,500.97,4331.98,727.624
800,0.9619,552.06,3969.94,655.547
700,0.9588,616.216,3595.16,582.227
600,0.955,699.626,3203.64,507.451
500,0.952,812.039,2800.05,431.373
400,0.9464,974.963,2373.81,352.949
300,0.9349,1235.06,1920.32,271.866
250,0.9285,1432.78,1680.83,230.498
200,0.9178,1718.19,1425.84,188.007
180,0.9107,1869.23,1318.98,170.807
160,0.9062,2069.79,1208.45,153.541
140,0.8964,2287.92,1096.81,136.163
120,0.885,2589.98,978.939,118.492
100,0.871,2985.67,857.012,100.66
90,0.8615,3242.5,793.361,91.5
80,0.8569,3546.08,731.124,82.658
70,0.8409,3921.95,663.572,73.348
60,0.8244,4389.25,597.077,64.04
55,0.8181,4630.6,565.496,59.504
50,0.8112,4953.19,531.074,54.843
45,0.8018,5333.47,496.03,50.145
40,0.7857,5705.67,459.752,45.396
35,0.771,6229.18,422.599,40.563
30,0.7612,6602.05,400.128,37.597
25,0.7604,6636.09,399.792,37.237
20,0.7595,6649.68,399.522,36.929
15,0.7584,6659.15,399.268,36.653
10,0.7575,6703.08,399.093,36.46
