Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
3444340,4222350,2597462,1672995,3070603,1670387,3673399,3415431,1333262,1287160,
ef,recall,qps,dist_comp,hops
20000,0.979,18.4214,112138,17991.9
15000,0.9758,23.4248,91639.3,13701.7
10000,0.9714,32.4919,67721.5,9323.17
5000,0.9572,60.5296,38957,4779.26
2500,0.9367,115.193,21565.8,2431.32
2000,0.9296,142.156,17710.8,1952.67
1700,0.9225,165.677,15341,1665.24
1400,0.9148,199.151,12908.8,1375.81
1100,0.9047,249.787,10411.8,1085.22
1000,0.9001,273.521,9569.57,988.51
900,0.8953,302.264,8717.37,891.759
800,0.8893,338.738,7847.15,794.48
700,0.8833,383.758,6972.58,697.307
600,0.8762,443.785,6090.73,600.33
500,0.8661,526.029,5190.57,502.642
400,0.8538,648.043,4272.87,405.278
300,0.8349,842.214,3333.23,307.46
250,0.8207,992.83,2852.09,258.735
200,0.8063,1216.89,2365.22,209.955
180,0.7964,1324.84,2167.2,190.539
160,0.7853,1480.57,1959.05,170.576
140,0.7729,1657.17,1759.33,151.18
120,0.7597,1882.54,1559.06,132.019
100,0.7385,2202.71,1338.1,111.729
90,0.7261,2383.55,1234.05,102.076
80,0.7108,2606.62,1123.76,92.008
70,0.6978,2938.66,1007.36,81.657
60,0.678,3306.07,899.903,71.867
55,0.6634,3531.33,843.066,66.68
50,0.6446,3789.95,786.308,61.494
45,0.6302,4086.98,731.226,56.523
40,0.6136,4414.63,675.546,51.561
35,0.5882,4861.29,616.082,46.316
30,0.574,5154.33,579.788,43.166
25,0.574,5147.21,579.779,43.16
20,0.574,5158.11,579.769,43.155
15,0.574,5152.03,579.765,43.151
10,0.574,5156.94,579.738,43.146
