Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
3449742,4216491,1464914,1240200,3682961,1664400,1247207,2004980,3409268,3451470,
ef,recall,qps,dist_comp,hops
20000,0.9858,45.293,31100.9,9182.02
15000,0.9855,55.1297,26770.3,7333.39
10000,0.9846,77.335,21336.8,5321.19
5000,0.982,129.845,14087.1,3062.61
2500,0.9783,219.091,8909.34,1749.16
2000,0.9756,260.706,7634.78,1451.68
1700,0.9735,296.666,6820.96,1263.52
1400,0.9706,346.495,5943.19,1069.03
1100,0.9676,420.498,4990.53,867.549
1000,0.9664,454.633,4653.5,798.366
900,0.9644,494.506,4307.64,727.677
800,0.9622,546.409,3946.84,655.505
700,0.9592,608.307,3574.75,582.182
600,0.9551,692.656,3184.82,507.392
500,0.9492,801.158,2783.13,431.447
400,0.9424,967.559,2357.49,352.564
300,0.9309,1227.82,1904.34,271.405
250,0.925,1427.14,1668.04,230.101
200,0.9156,1703.66,1413.82,187.542
180,0.9118,1866.44,1309.67,170.602
160,0.9053,2041.16,1201.81,153.254
140,0.898,2276.89,1092.43,135.962
120,0.887,2571.43,975.059,118.37
100,0.8758,2966.35,858.784,100.977
90,0.8687,3211.44,797.567,91.923
80,0.8599,3513.68,734.417,82.911
70,0.8436,3842.97,668.424,73.669
60,0.8288,4336.27,601.788,64.389
55,0.8206,4627.02,566.844,59.683
50,0.8103,4949.08,531.396,54.865
45,0.8019,5296.72,498.073,50.287
40,0.791,5675.31,463.681,45.687
35,0.7778,6161.88,426.958,40.951
30,0.767,6493.74,404.218,37.881
25,0.7664,6522.84,403.885,37.523
20,0.7655,6544.29,403.565,37.207
15,0.7646,6583.36,403.362,36.942
10,0.7636,6583.75,403.193,36.748
