Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
714191,1479182,825720,1726770,218575,3618129,1244426,345959,4265657,3328714,
ef,recall,qps,dist_comp,hops
20000,0.9832,179.916,11074.9,6432.42
15000,0.9831,221.027,9566.68,5250.64
10000,0.9828,297.305,7508.93,3955.9
5000,0.9806,519.509,4543.37,2373.08
2500,0.9773,878.16,2895.63,1393.64
2000,0.9757,1025.13,2555.14,1169.26
1700,0.9745,1151.37,2340.16,1026.47
1400,0.9742,1321.98,2104.58,878.04
1100,0.971,1570.66,1838.82,721.258
1000,0.9708,1670.38,1740,666.724
900,0.9691,1823.06,1635.7,611.086
800,0.9681,1990.17,1525.14,554.613
700,0.9659,2202.69,1406.17,496.169
600,0.9625,2461.6,1278.61,435.415
500,0.9592,2823.1,1141.13,372.898
400,0.9539,3319.08,993.546,307.93
300,0.9461,4021.1,833.511,240.526
250,0.9409,4623.3,744.239,205.657
200,0.9375,5417.56,652.787,170.414
180,0.9342,5823.15,616.405,156.357
160,0.9283,6312.75,574.063,141.178
140,0.9058,7090.72,515.601,125.018
120,0.8977,7887.81,470.351,109.611
100,0.8901,8921.28,424.553,94.032
90,0.8819,9605.91,398.722,85.798
80,0.8751,10411.3,372.917,77.757
70,0.8639,11393.7,343.111,69.157
60,0.8558,12668.9,314.156,60.773
55,0.85,13317.1,298.708,56.494
50,0.8432,14220.5,282.875,52.158
45,0.8325,15231.3,265.69,47.646
40,0.8234,16413.9,248.211,43.167
35,0.8113,17887.8,229.724,38.6
30,0.7978,19663.7,211.189,34.088
25,0.7801,21874.5,190.448,29.376
20,0.7527,24899,167.919,24.558
15,0.7182,29379,144.171,19.748
10,0.6644,36620.7,116.495,14.653
