Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!

========== MinHash Configuration ==========
Hash functions: 512
Bits per hash:  2 bits
Signature size: 128 bytes per labelset
LSH bands:      64 bands × 8 hashes/band
Bucket space:   2^16 = 65536 buckets per band
Est. memory:    73.2422 MB for 600K labelsets
===========================================

Loaded ground truth: 1000
Example: first query has 10
436495,809376,314848,539868,195130,364374,79053,281421,376137,704064,
ef,recall,qps,dist_comp,hops
3000,0.9998,507.59,3690.27,1624.44
2500,0.9996,571.832,3348.58,1424.03
2000,0.9996,662.302,2966.14,1202.69
1700,0.9996,720.662,2710.43,1057.11
1400,0.9995,817.423,2427.21,904.024
1100,0.9995,969.118,2110.42,741.741
1000,0.9997,1032.41,1995.07,685.508
900,0.9995,1116.9,1873.48,628.09
800,0.9992,1206.9,1745.77,568.584
700,0.9993,1328.46,1610.45,507.618
600,0.9992,1474.75,1465.32,445.596
500,0.9989,1684.11,1307.57,380.994
400,0.9986,1979.23,1135.39,314.542
300,0.9985,2441.68,944.184,244.54
250,0.9982,2788.43,838.577,208.587
200,0.9979,3273.18,724.276,171.706
180,0.9975,3535.89,675.588,156.572
160,0.9974,3853.57,624.644,141.119
140,0.996,4235.56,572.368,125.529
120,0.9948,4681.42,516.316,109.56
100,0.9946,5399.91,457.266,93.226
90,0.9933,5800.93,427.136,84.892
80,0.9917,6325.21,395.78,76.435
70,0.9899,6929.45,362.739,67.846
60,0.988,7707.15,328.51,59.142
55,0.9861,8183.62,310.852,54.787
50,0.9841,8724.22,292.432,50.354
45,0.9817,9360.6,273.528,45.901
40,0.9787,10134.7,254.328,41.469
35,0.9744,11059.6,234.344,36.993
30,0.97,12196.6,213.714,32.528
25,0.9588,13744.8,191.267,27.948
20,0.942,15663.7,168.447,23.397
15,0.919,18534.6,144.031,18.789
10,0.8749,23204.6,117.869,14.187
