Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 1000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
387223,256019,153229,216997,177328,974198,359903,768297,308241,435667,
ef,recall,qps,dist_comp,hops
3000,0.9957,53.2701,38402.8,3000.26
2500,0.9953,63.6507,32655.6,2500.44
2000,0.9947,79.3405,26717.4,2000.33
1700,0.9945,91.1209,23070,1700.94
1400,0.9934,110.893,19323.4,1400.71
1100,0.9923,141.885,15479.2,1100.84
1000,0.9918,155.749,14173.7,1000.92
900,0.9914,174.26,12853.3,901.06
800,0.99,196.708,11520.6,801.24
700,0.9891,228.977,10173,701.437
600,0.9879,265.844,8812.58,602.18
500,0.986,319.149,7421.6,502.036
400,0.9832,397.11,6017.81,402.49
300,0.9797,525.491,4597.32,303.342
250,0.9764,625.672,3878.36,253.963
200,0.9717,775.718,3152.65,204.641
180,0.9694,861.847,2856.16,184.725
160,0.9664,963.488,2563.17,165.145
140,0.9616,1087.31,2270.53,145.702
120,0.9558,1256.39,1975.5,126.209
100,0.9472,1491.42,1671.83,106.288
90,0.9402,1643.26,1522.28,96.515
80,0.9352,1819.79,1371.71,86.745
70,0.9281,1995.42,1224.4,77.232
60,0.9161,2285.79,1075.18,67.504
55,0.9101,2475.62,1002.32,62.653
50,0.9044,2676.57,929.244,57.833
45,0.8964,2904.2,856.261,53.007
40,0.8866,3182.77,783.252,48.216
35,0.8717,3534.38,708.376,43.31
30,0.8604,3784.15,662.848,40.343
25,0.8604,3749.92,662.848,40.343
20,0.8604,3780.19,662.848,40.343
15,0.8604,3776.9,662.848,40.343
10,0.8604,3766.31,662.848,40.343
