Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 10000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 422427 labelsets...
Found 128 unique labels
Two-tier index configuration:
  Tier 1 (dense): 128 labels (freq >= 4160)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.0062952 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
624323,114031,918408,201133,957010,968265,132607,313168,829788,194921,
ef,recall,qps,dist_comp,hops
20000,0.9996,530.02,2453.62,2157.53
15000,0.9996,583.311,2349.73,1897.54
10000,0.9996,688.505,2146.98,1514.49
5000,0.9996,942.787,1725.18,1045.28
2500,0.9996,1329.54,1318.73,698.098
2000,0.9993,1500.45,1199.07,611.882
1700,0.9994,1622.33,1116.43,553.981
1400,0.9993,1946.85,1023.16,492.368
1100,0.9994,2250.53,915.893,424.681
1000,0.9993,2360.56,875.879,399.824
900,0.9993,2502.33,833.4,373.78
800,0.9994,2676.69,787.625,345.833
700,0.9995,2881.94,738.618,316.605
600,0.9994,3142.66,685.194,284.958
500,0.9993,3495.68,625.997,251.36
400,0.9992,3979.13,559.161,215.273
300,0.9989,4711.79,482.133,175.76
250,0.9989,5248.64,438.517,154.287
200,0.999,5973.73,390.034,130.866
180,0.999,6390.75,368.517,120.922
160,0.9985,6805.95,346.161,110.633
140,0.9983,7416.88,321.935,99.769
120,0.998,8124.59,296.19,88.578
100,0.9976,9013.62,267.961,76.793
90,0.9973,9572.09,252.8,70.745
80,0.9967,10349.9,237.148,64.538
70,0.9962,11221,220.681,58.035
60,0.9959,12280.1,202.629,51.255
55,0.9951,12994,193.184,47.783
50,0.9941,13684.5,183.441,44.22
45,0.9923,14632.2,173.076,40.599
40,0.9905,15600.8,162.44,36.933
35,0.9876,16869.2,150.943,33.136
30,0.984,18355.6,139.08,29.237
25,0.9797,20448.3,126.351,25.217
20,0.9686,23030.6,112.489,21.035
15,0.9518,26828.4,97.222,16.739
10,0.9198,32830.9,79.707,12.209
