Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 10000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 951901 labelsets...
Found 4096 unique labels
Two-tier index configuration:
  Tier 1 (dense): 881 labels (freq >= 781)
  Tier 2 (sparse): 3215 labels
  Tier 1 memory: 0.0976324 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
216997,177328,153229,359903,974198,130823,768297,308241,528247,435667,
ef,recall,qps,dist_comp,hops
10000,0.9882,16.5793,109481,9938.31
5000,0.9847,31.8802,60514.7,4987.63
3000,0.9811,52.2704,38316.3,2997.99
2500,0.9787,62.9789,32451.1,2499.68
2000,0.9766,77.9917,26433,2000.8
1700,0.9754,91.3425,22740.5,1701.44
1400,0.9726,110.243,18988.4,1402.44
1100,0.9691,139.3,15155.3,1103.21
1000,0.9669,152.56,13859.9,1003.33
900,0.9654,168.922,12553.2,903.616
800,0.9626,189.454,11232.5,803.759
700,0.9593,215.834,9905.5,704.141
600,0.9556,250.124,8566.56,604.612
500,0.9509,296.384,7210.34,504.659
400,0.9422,365.325,5843.49,405.093
300,0.9298,480.067,4458.27,305.551
250,0.9208,568.04,3760.75,256.008
200,0.9096,695.321,3060.97,206.732
180,0.9012,764.297,2778.22,186.954
160,0.8938,848.775,2493.94,167.106
140,0.8825,954.15,2211.26,147.477
120,0.87,1085.98,1926.36,127.75
100,0.8565,1266.45,1641.3,108.152
90,0.846,1382.81,1498.31,98.367
80,0.8342,1518.01,1355.42,88.618
70,0.818,1683.9,1211.64,78.787
60,0.8004,1876.09,1068.52,69.037
55,0.7903,2012.7,994.939,64.047
50,0.7794,2146.86,924.841,59.31
45,0.7649,2301.31,854.413,54.555
40,0.7481,2487.15,783.248,49.762
35,0.7261,2726.14,708.045,44.711
30,0.7117,2865.5,664.397,41.779
25,0.7117,2858.25,664.397,41.779
20,0.7117,2848.35,664.397,41.779
15,0.7117,2872.54,664.397,41.779
10,0.7117,2876.04,664.397,41.779
