Loaded fvecs: 1000 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_query.fvecs
Loaded label sets: 10000
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 972650 labelsets...
Found 8192 unique labels
Two-tier index configuration:
  Tier 1 (dense): 862 labels (freq >= 799)
  Tier 2 (sparse): 7330 labels
  Tier 1 memory: 0.0976076 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
562292,5407,164709,147863,518359,124090,589262,744921,131371,136426,
ef,recall,qps,dist_comp,hops
10000,0.9884,118.202,10518.6,2272.6
5000,0.9789,193.178,6769.26,1361.31
3000,0.9605,273.27,4773.87,930.577
2500,0.9527,313.938,4197.5,811.742
2000,0.941,370.877,3575.9,687.007
1700,0.9328,417.715,3178.4,608.078
1400,0.9206,481.624,2756.28,526.289
1100,0.9057,577.264,2302.88,438.545
1000,0.8984,618.592,2143.47,407.953
900,0.8895,689.275,1977.88,376.52
800,0.8788,758.399,1807.95,344.3
700,0.8671,836.952,1633.05,310.631
600,0.8515,925.985,1449.48,275.743
500,0.8343,1069.33,1258.63,239.647
400,0.8089,1265.47,1058,201.437
300,0.7786,1567.71,844.501,160.615
250,0.7534,1769.91,732.549,138.975
200,0.7219,2112.14,615.846,116.504
180,0.7059,2284.48,566.566,107.132
160,0.687,2479.01,517.072,97.602
140,0.6692,2741.02,464.7,87.611
120,0.6437,3048.2,414.402,77.668
100,0.6089,3452.36,360.119,67.322
90,0.5859,3730.76,331.862,61.855
80,0.5677,4032.34,304.885,56.685
70,0.5405,4306.27,276.56,51.077
60,0.5148,4825.18,246.77,45.223
55,0.4925,5150.11,232.186,42.154
50,0.4759,5222.1,217.645,39.224
45,0.4557,5632.83,202.911,36.28
40,0.4314,6175.75,186.228,33.135
35,0.3917,6731.37,169.394,29.68
30,0.3683,7351.72,152.711,26.486
25,0.3396,8103.85,135.024,23.225
20,0.3081,9064.18,117.507,19.871
15,0.259,10636.8,98.064,15.805
10,0.2121,12942.2,74.813,11.638
