L,Cmps,QPS,Recall
1700,4631,338.753,87.73
1400,4126,373.134,86.46
1100,3566,414.594,85.05
1000,3361,433.088,84.41
900,3143,452.899,83.91
800,2916,477.327,83.2
700,2684,504.286,82.14
600,2426,534.759,80.93
500,2161,571.102,79.6
400,1864,619.579,77.53
300,1537,682.128,74.8
250,1368,718.907,73.27
200,1179,766.284,70.92
180,1098,788.644,70.09
160,1013,810.373,69.07
140,929,839.631,68.12
120,844,867.303,66.75
100,747,900.09,64.82
90,694,921.659,63.9
80,644,942.507,62.98
70,592,960.615,61.9
60,539,983.284,60.65
55,509,995.025,59.82
50,482,1005.03,58.72
45,449,1023.54,57.96
40,418,1037.34,56.82
35,382,1050.42,55.8
30,346,1072.96,54.72
25,313,1090.51,53.23
20,276,1107.42,51.36
15,233,1128.67,49.31
10,188,1156.07,47.03
