L,Cmps,QPS,Recall
1700,81403,30.2234,58.84
1400,70825,33.7906,56.62
1100,59423,40.1574,54.14
1000,55376,42.8156,53.02
900,51191,46.0999,51.99
800,46896,50.0125,50.93
700,42399,54.8035,49.71
600,37672,60.8273,48.05
500,32719,68.6012,46.09
400,27449,79.3966,43.6
300,21862,94.8317,40.5
250,18885,105.731,38.82
200,15805,120.048,36.93
180,14531,127.016,35.89
160,13200,135.428,34.93
140,11858,145.033,33.79
120,10452,156.617,32.06
100,9008,170.765,30.46
90,8262,179.147,29.48
80,7497,188.786,28.64
70,6729,199.442,27.59
60,5945,211.193,26.38
55,5553,218.245,25.82
50,5145,225.327,25.12
45,4733,233.155,24.22
40,4320,241.838,23.34
35,3895,251.383,22.47
30,3463,262.261,21.48
25,3016,273.898,20.33
20,2558,286.779,18.78
15,2082,303.122,17.2
10,1578,321.957,15.09
