efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.99,90.2021,69.2807,12770.5
1400,0.9891,113.165,82.0719,10876.3
1100,0.9879,147.059,98.5436,8916.67
1000,0.9874,162.71,105.333,8243.63
900,0.9861,181.11,112.748,7560.18
800,0.9854,204.203,121.287,6867.56
700,0.9838,231.821,130.523,6157.33
600,0.9822,265.676,140.611,5431.02
500,0.9797,315.863,153.522,4688.21
400,0.9763,387.957,168.764,3923.75
300,0.9718,501.866,187.253,3125.03
250,0.9672,589.067,198.2,2713.6
200,0.9597,707.577,210.036,2286.49
180,0.9562,785.238,216.389,2111.1
160,0.9529,870.305,222.379,1931.93
140,0.9479,969.764,228.363,1750.05
120,0.9394,1063.76,233.216,1561.57
100,0.9257,1258.81,241.417,1367.8
90,0.9182,1367.1,245.141,1267.93
80,0.9047,1505.94,249.262,1167.28
70,0.892,1667.31,253.32,1063.67
60,0.8699,1887.22,257.885,956.479
55,0.8601,2017.44,260.18,902.22
50,0.8453,2166.78,262.514,846.303
45,0.822,2346.92,264.978,788.877
40,0.7938,2560.35,267.495,729.12
35,0.7629,2842.03,270.294,667.557
30,0.7256,3199.03,273.194,603.289
25,0.6828,3710.77,276.449,536.106
20,0.6222,4388.6,279.667,465.683
15,0.5107,5444.16,283.166,388.428
10,0.3651,7366,287.062,303.324
