ef,recall,qps,dist_comp
1700,0.9362,23.2658,11220.6
1400,0.9298,31.3268,9728.38
1100,0.9202,45.3321,8127.5
1000,0.9159,52.2146,7566.58
900,0.9109,61.1324,6989.29
800,0.9059,72.8082,6399.02
700,0.8987,89.1222,5787.78
600,0.8901,111.758,5149
500,0.8806,144.113,4483.86
400,0.8672,196.5,3788.86
300,0.8501,289.046,3056.79
250,0.8368,364.996,2670.39
200,0.8177,474.128,2268.05
180,0.8064,538.983,2099.59
160,0.7943,627.49,1925.84
140,0.7838,721.195,1750.29
120,0.7685,869.308,1567.66
100,0.7485,1050.04,1379.9
90,0.7387,1153.97,1284.39
80,0.7242,1309.02,1184.35
70,0.7099,1480.43,1083.69
60,0.6917,1745.01,978.623
55,0.6814,1908.51,923.764
50,0.6715,2040.35,868.386
45,0.6584,2227.26,813.164
40,0.6439,2423.39,756.087
35,0.6268,2730.34,696.264
30,0.6051,3072.89,636.377
25,0.5767,3621.81,573.516
20,0.5422,4140.38,508.1
15,0.5,4988.72,440.526
10,0.434,6487.16,364.713
