ef,recall,qps,dist_comp
1700,0.4182,25.2279,11239.8
1400,0.4169,32.3221,9879.44
1100,0.4154,44.3646,8407.06
1000,0.4146,51.9415,7884.35
900,0.4131,59.9393,7340.04
800,0.4121,69.7871,6773.95
700,0.4105,83.815,6182.41
600,0.4084,97.3945,5556.28
500,0.4068,126.874,4897.48
400,0.4033,170.312,4191.38
300,0.398,227.289,3417.84
250,0.3946,297.752,3000.45
200,0.3892,380.83,2556.22
180,0.3871,433.923,2369.34
160,0.3839,471.829,2176.46
140,0.381,561.766,1975.42
120,0.3763,669.362,1770.07
100,0.3691,803.142,1552.71
90,0.3635,821.177,1440.67
80,0.3589,911.814,1328.45
70,0.3524,1132.07,1211.48
60,0.3421,1303.32,1084.12
55,0.3376,1421.59,1020.14
50,0.333,1403.84,957.717
45,0.3289,1498.54,895.526
40,0.3205,1864.94,825.881
35,0.3114,1874.42,758.09
30,0.302,2093.85,688.318
25,0.2872,2678.59,611.217
20,0.2688,3176.99,531.298
15,0.2451,3843.67,449.562
10,0.2113,5203.49,354.967
