efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.99,81.506,24.0648,7370.5
1400,0.9895,101.009,25.5196,6315.05
1100,0.9875,129.09,27.0037,5199.4
1000,0.987,142.75,27.5553,4810.43
900,0.986,157.767,28.0711,4413.95
800,0.985,178.692,28.6684,4005.86
700,0.9845,202.982,29.2296,3596.16
600,0.9815,234.224,29.802,3169.28
500,0.9785,279.303,30.4268,2730.18
400,0.9745,345.761,31.0776,2272.65
300,0.9705,450.691,31.7418,1792.23
250,0.969,533.442,32.0924,1545.74
200,0.9595,655.007,32.4548,1289.48
180,0.958,722.032,32.6048,1183.09
160,0.9495,804.738,32.7568,1075.65
140,0.9415,894.083,32.8906,969.085
120,0.933,1038.39,33.0596,858.875
100,0.9165,1225.84,33.2213,748.025
90,0.9095,1336.41,33.296,691.11
80,0.894,1484.76,33.3791,633.335
70,0.8745,1673.75,33.464,573.975
60,0.8495,1905.23,33.5455,515.315
55,0.8405,2048.41,33.5868,484.455
50,0.8345,2224,33.6304,454.28
45,0.821,2424.54,33.6725,423.095
40,0.791,2674.87,33.7163,390.8
35,0.7605,2999.26,33.7623,357.97
30,0.7155,3399.28,33.8071,324.325
25,0.6475,3964.48,33.8551,288.925
20,0.564,4761.79,33.9036,251.73
15,0.433,6038.27,33.9547,211.42
10,0.283,8373.79,34.008,167.8
