efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.8375,84.759,25.4621,4031.49
1400,0.8295,103.466,26.9244,3531.99
1100,0.8205,129.03,28.388,2993.18
1000,0.8195,142.088,28.9738,2803.32
900,0.8155,157.766,29.5731,2607.2
800,0.812,172.823,30.0641,2401.47
700,0.809,200.657,30.8075,2185.95
600,0.8005,228.346,31.392,1961.55
500,0.794,266.599,32.0236,1725.88
400,0.7815,331.572,32.7956,1472.22
300,0.7575,415.678,33.4653,1197.38
250,0.74,487.923,33.8691,1050.37
200,0.7215,599.788,34.3133,893.7
180,0.712,655.001,34.4796,827.185
160,0.705,723.087,34.6513,760.155
140,0.688,805.909,34.8228,688.805
120,0.6715,916.717,35.0056,615.355
100,0.648,1064.3,35.192,537.89
90,0.637,1167.63,35.2953,496.64
80,0.622,1293.89,35.3997,456.02
70,0.5995,1442.98,35.5,413.575
60,0.573,1641.38,35.6059,369.54
55,0.5565,1655.61,35.6126,346.52
50,0.535,1970.02,35.7352,323.09
45,0.5185,2126.12,35.7829,299.48
40,0.496,2345.66,35.8394,274.85
35,0.474,2636.64,35.8999,249.44
30,0.4495,2992.45,35.9581,223.915
25,0.411,3480.43,36.0188,197.55
20,0.3625,4170.06,36.0805,170.08
15,0.3065,5269.26,36.1458,141.12
10,0.21,7278.3,36.2143,110.22
