efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.156,520.008,33.8684,397.089
1400,0.1555,608.873,34.1934,352.88
1100,0.15455,757.962,34.5753,301.86
1000,0.15425,823.95,34.7021,282.185
900,0.153,907.032,34.8365,261.535
800,0.15215,1027.77,34.9944,240.206
700,0.1508,1145.94,35.1177,218.01
600,0.1488,1304.06,35.2487,194.892
500,0.14565,1505.29,35.3765,170.311
400,0.14155,1808.14,35.5163,144.117
300,0.1344,2306.32,35.6676,115.769
250,0.1284,2617.5,35.7333,100.424
200,0.1216,3101.28,35.8096,84.3345
180,0.1176,3443.8,35.8508,77.8705
160,0.11295,3678.86,35.8746,71.167
140,0.10805,4045.84,35.9064,64.311
120,0.10135,4612.15,35.9456,57.221
100,0.09465,5166.37,35.9756,49.842
90,0.0887,5547.54,35.9928,46.112
80,0.0835,6046.1,36.0121,42.354
70,0.0764,6624.23,36.0308,38.503
60,0.0677,7346.54,36.0501,34.3885
55,0.0625,7833.58,36.0611,32.299
50,0.0586,8354.01,36.0715,30.166
45,0.0538,8988.48,36.0825,27.998
40,0.04785,9771.45,36.0941,25.8435
35,0.0425,10749,36.1062,23.6405
30,0.03625,12026.1,36.1191,21.3665
25,0.03045,13110,36.1281,19.09
20,0.023,14994.4,36.1406,16.77
15,0.01685,17630.6,36.1536,14.29
10,0.01155,21599,36.1672,11.7225
