efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.972,59.9885,37.968,9977.94
1400,0.969,72.7193,42.6992,8672.19
1100,0.966,92.1855,48.7429,7265.09
1000,0.9625,100.7,51.024,6764.58
900,0.96,112.098,53.7956,6257.44
800,0.9565,124.162,56.4267,5726.27
700,0.952,141.018,59.668,5174.09
600,0.945,162.508,63.2045,4601.4
500,0.939,189.457,66.9059,3996.55
400,0.932,250.87,73.2372,3355.7
300,0.9205,331.594,78.8403,2667.64
250,0.9125,394.646,81.9535,2305.26
200,0.9005,479.869,85.0917,1926.44
180,0.8915,528.633,86.5067,1767.13
160,0.883,595.091,88.117,1606.47
140,0.868,655.192,89.3304,1442.7
120,0.8555,756.484,90.9915,1272.43
100,0.8315,891.142,92.676,1100.51
90,0.822,981.451,93.5714,1012.49
80,0.807,1100.79,94.5486,921.085
70,0.79,1223.68,95.3713,829.675
60,0.7665,1388.71,96.2629,735.58
55,0.754,1456.84,96.5759,685.75
50,0.736,1632.2,97.2687,636.725
45,0.7165,1786.97,97.7734,587.68
40,0.696,1983.36,98.306,537.05
35,0.666,2226.87,98.8417,485.605
30,0.6265,2543.43,99.3907,433.34
25,0.586,2956.26,99.9361,380.79
20,0.516,3597.05,100.542,323.615
15,0.429,4570.38,101.144,266.57
10,0.3125,6437.52,101.797,202.89
