efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.986,62.5403,27.1667,15135.4
1400,0.9845,76.1462,29.4528,13089.2
1100,0.9825,95.3749,31.9438,10897.4
1000,0.982,104.684,32.9245,10128.9
900,0.9815,116.255,33.9884,9337.92
800,0.9785,129.387,35.0278,8519.81
700,0.9725,147.164,36.212,7673.6
600,0.9675,169.174,37.4096,6798.19
500,0.9645,198.281,38.6647,5886.21
400,0.9605,243.406,40.1149,4925.55
300,0.951,314.034,41.659,3903.82
250,0.941,371.606,42.5332,3368.01
200,0.931,455.759,43.4515,2804.57
180,0.9235,497.551,43.8022,2570.91
160,0.913,553.282,44.1941,2333.26
140,0.906,622.16,44.5884,2091.14
120,0.8945,715.661,45.0099,1838.87
100,0.8815,839.299,45.4308,1583.57
90,0.8695,920.387,45.6485,1452.19
80,0.8575,1016.16,45.8629,1316.56
70,0.8435,1150.53,46.1059,1181.66
60,0.823,1314.59,46.3376,1042.27
55,0.8075,1417.27,46.4563,972.09
50,0.787,1541.21,46.5791,901.9
45,0.7705,1686.37,46.7005,828.11
40,0.7535,1870.05,46.8279,753.895
35,0.7275,2090.68,46.952,680.465
30,0.692,2376.23,47.0791,604.46
25,0.6455,2795.91,47.2195,526.345
20,0.59,3386.72,47.359,445.7
15,0.5045,4276.89,47.4973,364.09
10,0.36,5945.49,47.6458,278.045
