efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.015,47326.4,38.3588,0.62
1400,0.015,65772.4,38.3675,0.62
1100,0.015,97000.6,38.3747,0.62
1000,0.015,123000,38.3779,0.62
900,0.015,132292,38.3788,0.62
800,0.015,139764,38.3794,0.62
700,0.015,142156,38.3795,0.62
600,0.015,141461,38.3795,0.62
500,0.015,142445,38.3796,0.62
400,0.015,143053,38.3796,0.62
300,0.015,146398,38.3798,0.62
250,0.015,148366,38.38,0.62
200,0.015,147817,38.3799,0.62
180,0.015,149343,38.38,0.62
160,0.015,151528,38.3802,0.62
140,0.015,148576,38.38,0.62
120,0.015,150712,38.3801,0.62
100,0.015,150145,38.3801,0.62
90,0.015,150145,38.3801,0.62
80,0.015,151528,38.3802,0.62
70,0.015,148497,38.38,0.62
60,0.015,150956,38.3802,0.62
55,0.015,149797,38.3801,0.62
50,0.015,150712,38.3801,0.62
45,0.015,153609,38.3803,0.62
40,0.015,151748,38.3802,0.62
35,0.015,150495,38.3801,0.62
30,0.015,152659,38.3803,0.62
25,0.015,151638,38.3802,0.62
20,0.015,152078,38.3802,0.62
15,0.015,158485,38.3806,0.615
10,0.015,161010,38.3808,0.6
