efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.984,96.7267,5.66614,9371.91
1400,0.984,120.216,5.73174,8073.71
1100,0.977,156.533,5.79586,6700.67
1000,0.977,172.764,5.81609,6226.19
900,0.976,192.206,5.83596,5740.44
800,0.9705,215.354,5.85507,5242.69
700,0.9695,246.567,5.87529,4734.37
600,0.969,286.457,5.89485,4208.25
500,0.9655,338.836,5.91367,3660.78
400,0.9605,405.834,5.93075,3089.24
300,0.9585,536.923,5.95199,2489.62
250,0.957,632.836,5.96201,2171.73
200,0.938,781.409,5.97271,1838.64
180,0.9315,851.625,5.97647,1698.01
160,0.921,942.951,5.98054,1556.17
140,0.9215,999.785,5.98269,1411.29
120,0.9125,1130.39,5.98683,1261.24
100,0.9095,1296.85,5.99091,1105.94
90,0.8985,1455.99,5.99393,1025.02
80,0.8925,1583.92,5.99593,942.83
70,0.89,1841.32,5.9991,857.91
60,0.8745,2069.97,6.00126,771.06
55,0.857,2200.39,6.00229,727.88
50,0.849,2430.49,6.00384,683.365
45,0.84,2533.66,6.00445,636.53
40,0.82,2802.22,6.00581,588.695
35,0.7995,3099.58,6.00704,539.84
30,0.76,3543.95,6.0085,487.36
25,0.7235,4084.21,6.00985,434.215
20,0.6675,4787.44,6.01115,378.07
15,0.57,6040.84,6.01272,316.76
10,0.4415,8204.5,6.0143,248.595
