efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.385,113.671,7.05908,1920.65
1400,0.361,146.965,7.15981,1578.83
1100,0.3235,211.31,7.26763,1254.76
1000,0.3015,232.629,7.2906,1151.88
900,0.2855,264.339,7.31812,1052.23
800,0.268,283.71,7.33198,954.96
700,0.245,309.589,7.34785,862.005
600,0.214,359.12,7.37198,770.76
500,0.205,434.847,7.39843,675.89
400,0.1875,540.288,7.42308,577.685
300,0.1755,702.827,7.44674,472.315
250,0.1715,832.56,7.45905,416.59
200,0.1625,1028.71,7.47182,356.77
180,0.161,1095.31,7.47512,330.835
160,0.16,1211.88,7.48003,304.04
140,0.1575,1356.06,7.48494,276.81
120,0.1465,1546.83,7.49004,247.64
100,0.1395,1800.42,7.49515,216.59
90,0.1305,1969.3,7.49783,200.09
80,0.1225,2180.12,7.50059,183.605
70,0.115,2400.98,7.50296,165.695
60,0.105,2711.97,7.50565,148.205
55,0.1025,2914.6,7.5071,138.88
50,0.102,3157.77,7.50859,129.22
45,0.098,3434.42,7.51003,118.95
40,0.0935,3786.58,7.51155,108.825
35,0.0905,4215.68,7.51307,99.455
30,0.084,4779.89,7.51465,88.56
25,0.073,5553.38,7.5163,77.565
20,0.061,6638.13,7.51796,66.245
15,0.0475,8219.61,7.5196,54.715
10,0.027,10865.9,7.52128,43.495
