efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0,26257.1,20.669,0.07
1400,0,42670.6,20.6753,0.07
1100,0,43563.6,20.6755,0.07
1000,0,45197.2,20.6759,0.07
900,0,45924.7,20.676,0.07
800,0,47124.4,20.6762,0.07
700,0,47765.7,20.6764,0.07
600,0,48768.1,20.6766,0.07
500,0,49566.3,20.6767,0.07
400,0,50138.1,20.6768,0.07
300,0,50723.2,20.6769,0.07
250,0,51319,20.677,0.07
200,0,51771.9,20.6771,0.07
180,0,51948.3,20.6771,0.07
160,0,52412.4,20.6772,0.07
140,0,52491.1,20.6772,0.07
120,0,52868.3,20.6772,0.07
100,0,53277.9,20.6773,0.07
90,0,53332.1,20.6773,0.07
80,0,53880.2,20.6774,0.07
70,0,53894,20.6774,0.07
60,0,53604.8,20.6773,0.07
55,0,53880.2,20.6774,0.07
50,0,53807.6,20.6774,0.07
45,0,53591.1,20.6773,0.07
40,0,53980.7,20.6774,0.07
35,0,53866.4,20.6774,0.07
30,0,53359.3,20.6773,0.07
25,0,53907.9,20.6774,0.07
20,0,53591.1,20.6773,0.07
15,0,53704.3,20.6774,0.07
10,0,53461.3,20.6773,0.07
