efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.868,74.5999,3.7268,12594.2
1400,0.856,97.3131,3.77077,10753.1
1100,0.8465,127.041,3.80527,8843.74
1000,0.843,139.587,3.81554,8184
900,0.8385,155.655,3.82634,7517.56
800,0.8315,175.854,3.83717,6838.58
700,0.825,201.883,3.848,6155.56
600,0.818,237.271,3.85897,5452.25
500,0.807,284.212,3.86936,4719.66
400,0.7845,353.315,3.87969,3973.28
300,0.7605,467.656,3.89014,3202.89
250,0.7455,556.15,3.89529,2802.49
200,0.7195,690.043,3.9006,2378.45
180,0.7035,758.659,3.90259,2202.29
160,0.692,846.012,3.90467,2020.85
140,0.6875,947.88,3.9066,1837.39
120,0.669,1098.36,3.90881,1644.35
100,0.6455,1305.72,3.91102,1443.53
90,0.631,1466.41,3.9123,1339.73
80,0.6095,1628.97,3.91335,1231.81
70,0.589,1837.17,3.91441,1119.91
60,0.562,2105.82,3.91548,1004.7
55,0.537,2287.29,3.91605,943.25
50,0.5,2481.79,3.91658,881.39
45,0.4575,2716.06,3.91711,815.74
40,0.423,3040.2,3.91772,749.075
35,0.375,3439.32,3.9183,678.92
30,0.3245,3894.47,3.91882,604.585
25,0.2745,4463.47,3.91933,527.11
20,0.2225,5772.98,3.92011,445.325
15,0.173,7393.45,3.92069,362
10,0.121,10505.3,3.92131,272.965
