efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.0125,26296.6,97.3041,1.2
1400,0.0125,39135.1,97.4224,1.2
1100,0.0125,79853.5,97.5462,1.2
1000,0.0125,132836,97.5938,1.2
900,0.0125,132000,97.5933,1.2
800,0.0125,135082,97.5949,1.2
700,0.0125,139927,97.5974,1.2
600,0.0125,139927,97.5974,1.2
500,0.0125,136511,97.5957,1.2
400,0.0125,140867,97.5978,1.2
300,0.0125,140867,97.5978,1.2
250,0.0125,138312,97.5966,1.2
200,0.0125,141341,97.5981,1.2
180,0.0125,140867,97.5978,1.2
160,0.0125,142421,97.5986,1.2
140,0.0125,139346,97.5971,1.2
120,0.0125,137971,97.5964,1.2
100,0.0125,142300,97.5985,1.2
90,0.0125,132000,97.5933,1.2
80,0.0125,141819,97.5983,1.2
70,0.0125,141819,97.5983,1.2
60,0.0125,139346,97.5971,1.2
55,0.0125,142906,97.5988,1.2
50,0.0125,142300,97.5985,1.2
45,0.0125,139810,97.5973,1.2
40,0.0125,142906,97.5988,1.2
35,0.0125,142421,97.5986,1.2
30,0.0125,139810,97.5973,1.2
25,0.0125,142421,97.5986,1.2
20,0.0125,52908.3,97.4856,1.2
15,0.0125,125390,97.5895,1.2
10,0.0125,142785,97.5988,1.2
