efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.36,102.18,17.0564,4466.85
1400,0.3125,140.487,17.8697,3617.95
1100,0.31,183.604,18.42,3176
1000,0.31,206.898,18.6304,3052.5
900,0.31,231.215,18.8085,2944.22
800,0.31,249.293,18.9201,2830.8
700,0.31,292.238,19.1335,2709.05
600,0.31,345.214,19.3277,2571.75
500,0.305,409.391,19.4988,2406.88
400,0.2825,503.72,19.6743,2207.78
300,0.275,636.243,19.8357,1985
250,0.27,739.426,19.9224,1848.4
200,0.2625,880.708,20.0089,1687.12
180,0.26,952.223,20.0431,1611.22
160,0.2375,1048.44,20.0818,1522.22
140,0.23,1151.01,20.1162,1433.2
120,0.2225,1272.34,20.1498,1334.2
100,0.2125,1467.03,20.1922,1222.8
90,0.2075,1585.04,20.2129,1160.38
80,0.2075,1748.79,20.2371,1090.25
70,0.2,1928.55,20.2589,1014.8
60,0.1925,2167.91,20.2825,929.25
55,0.18,2320.34,20.2949,883.675
50,0.1725,2512.24,20.3085,837.475
45,0.1625,2711.64,20.3206,790.025
40,0.1525,2991.12,20.3348,735.875
35,0.12,3305.79,20.348,678.975
30,0.095,3758.34,20.3631,615.775
25,0.08,4329.49,20.3776,551.1
20,0.0675,5199.5,20.3937,477.4
15,0.05,6667.68,20.4113,393
10,0.0425,9163.87,20.4284,302.85
