ef,recall,qps,distance_computations_per_query
1700,1,46.0723,25334.4
1400,1,46.1574,25334.4
1100,1,46.3714,25334.4
1000,1,46.2321,25334.4
900,1,46.2107,25334.4
800,1,46.2642,25334.3
700,1,46.6962,25320.1
600,1,47.9157,25145.8
500,1,50.4414,24721.2
400,1,56.4334,23339.2
300,1,67.4536,20753.4
250,1,75.2729,19093.6
200,1,84.1043,16936.3
180,1,87.146,15760.9
160,1,89.9281,14614.9
140,1,115.808,13351.4
120,1,109.17,11993.7
100,1,123.381,10696.2
90,1,133.869,9933.05
80,1,146.413,9103.44
70,1,161.16,8347.84
60,1,179.695,7507.65
55,1,197.628,6933.1
50,1,210.526,6511.16
45,1,236.128,5990.21
40,1,302.572,5458.77
35,1,330.579,5115.35
30,1,399.202,4290.98
25,1,469.484,3693.74
20,0.9995,564.972,3101.9
15,0.996,689.655,2571.7
10,0.989,930.233,1939.32
