ef,recall,qps,distance_computations_per_query
1700,0.99,36.0685,39741.2
1400,0.99,43.7158,33918.1
1100,0.99,53.7924,27879.3
1000,0.99,58.309,25806.8
900,0.99,67.5904,23690.1
800,0.9895,74.5156,21519
700,0.9895,78.8022,19326.1
600,0.989,89.4454,17091.6
500,0.989,104.439,14753.1
400,0.9885,125.786,12329.9
300,0.9835,159.109,9761.19
250,0.9805,186.047,8423.42
200,0.9795,222.469,7059.57
180,0.9795,241.838,6496.12
160,0.9795,267.023,5923.71
140,0.9795,297.619,5353.02
120,0.978,337.268,4735.98
100,0.975,390.625,4115.6
90,0.974,423.729,3798.3
80,0.974,505.051,3473.48
70,0.9715,628.931,3138.4
60,0.9685,714.286,2803.66
55,0.9665,766.284,2628.06
50,0.9635,823.045,2448.99
45,0.9625,888.889,2275.32
40,0.957,966.184,2097.98
35,0.954,1069.52,1901.1
30,0.949,1197.6,1709.82
25,0.9435,1360.54,1513.66
20,0.927,1600,1313.2
15,0.906,1923.08,1104.56
10,0.8715,2469.14,887.555
