ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_containment/gist1m_containment_Q2_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_containment/Q2_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.999,35.4421,32275.4
1400,0.9985,40.4204,28839.8
1100,0.998,47.1587,24993.3
1000,0.998,50.0877,23635.7
900,0.9975,57.1919,22162.6
800,0.9975,64.1026,20646.7
700,0.997,70.1262,19013
600,0.997,77.3994,17301.2
500,0.997,87.9894,15364
400,0.9965,101.678,13339.4
300,0.9955,124.378,10998.6
250,0.9935,141.743,9710.8
200,0.9905,166.113,8343.75
180,0.9895,179.051,7724.43
160,0.9885,196.85,7084.35
140,0.9875,217.865,6417.96
120,0.9835,243.902,5729.76
100,0.9785,281.294,5002.64
90,0.975,302.115,4624.53
80,0.9735,332.779,4241.45
70,0.97,368.324,3846.32
60,0.9625,412.371,3439.18
55,0.959,438.596,3208.33
50,0.95,471.698,2982.2
45,0.9425,512.821,2769.99
40,0.9365,563.38,2530.15
35,0.9225,625,2282.62
30,0.907,699.301,2038.8
25,0.883,816.327,1755.68
20,0.857,970.874,1467.04
15,0.8165,1197.6,1199.33
10,0.7355,1639.34,879.795
