ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_equality/gist1m_equality_Q4_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_equality/Q4_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.998,10.8079,112632
1400,0.998,12.4906,99817.7
1100,0.9975,14.782,85685
1000,0.9975,15.7754,80572.8
900,0.9975,16.9866,75249.3
800,0.9975,18.4689,69633.7
700,0.9975,20.2265,63825.1
600,0.997,22.5454,57539.9
500,0.9965,25.6443,50792.9
400,0.996,30.1341,43573.8
300,0.995,36.9959,35663.3
250,0.9935,40.5927,31348.2
200,0.9925,49.0798,26569.4
180,0.9925,54.4662,24648
160,0.9895,58.4454,22597.9
140,0.9885,60.1323,20473.8
120,0.9855,67.8196,18223
100,0.982,77.9727,15919
90,0.9785,84.2815,14721.5
80,0.977,92.8505,13402.8
70,0.973,102.934,12094.2
60,0.9685,116.55,10742.5
55,0.9625,124.611,10055
50,0.958,134.318,9337.37
45,0.9505,145.773,8586.61
40,0.942,160,7854.83
35,0.9325,178.891,7054.52
30,0.919,201.613,6275.58
25,0.8955,234.467,5389.02
20,0.8765,284.091,4478.5
15,0.839,354.61,3601.51
10,0.7645,492.611,2606.43
