ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_overlap/gist1m_overlap_Q4_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_overlap/Q4_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.9935,16.063,79377.6
1400,0.991,18.6881,68929.9
1100,0.9895,22.4921,57684.7
1000,0.9895,24.2043,53717.1
900,0.9875,26.178,49633.9
800,0.985,29.0529,45429.2
700,0.984,32.1854,41065.5
600,0.98,36.2779,36480.5
500,0.978,42.0256,31679.3
400,0.973,50.2513,26640.5
300,0.963,63.5122,21234
250,0.9555,73.7191,18360.4
200,0.944,88.6132,15362.7
180,0.939,96.8992,14118.2
160,0.9305,107.181,12826.7
140,0.9215,119.617,11519.7
120,0.9105,136.519,10166.6
100,0.8925,159.617,8758.89
90,0.883,173.913,8045.48
80,0.873,193.424,7313.75
70,0.856,216.685,6559.03
60,0.8375,246.609,5800.08
55,0.8175,264.201,5408.38
50,0.8025,285.714,5016.65
45,0.7865,310.559,4623.55
40,0.7695,340.136,4213.09
35,0.7415,382.409,3796.51
30,0.719,430.108,3398.86
25,0.6715,496.278,2961.12
20,0.6305,586.51,2530.93
15,0.577,735.294,2060.43
10,0.513,980.392,1589.92
