ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_containment/sift1m_containment_Q1_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_containment/Q1_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,105.871,16963.4
1400,1,102.564,16601.3
1100,1,104.297,16237.3
1000,1,108.126,16105.6
900,1,118.099,15928.5
800,1,122.093,15663.8
700,1,128.485,15223.5
600,1,138.687,14434.3
500,1,160.077,12848.6
400,1,195.389,10819.9
300,1,252.239,8645.73
250,1,289.981,7709.35
200,1,341.413,6938.04
180,1,366.972,6615.84
160,1,401.204,6258.8
140,1,441.014,5886.7
120,1,490.436,5471.83
100,0.99995,559.128,4990.64
90,0.9999,611.808,4700.95
80,0.9998,667.557,4413.65
70,0.9997,735.024,4095.94
60,0.9996,819.672,3769.32
55,0.99955,873.744,3588.01
50,0.9994,935.891,3398.6
45,0.9992,1012.15,3198.29
40,0.999,1090.51,3001.89
35,0.99825,1199.04,2769.65
30,0.997,1344.09,2526.21
25,0.99405,1547.99,2246.3
20,0.989,1897.53,1890.07
15,0.9791,2424.24,1548.87
10,0.9495,3205.13,1211.69
