ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_equality/sift1m_equality_Q3_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_equality/Q3_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,0.7858,41.5326,60098.4
1400,0.7858,47.6781,54879.2
1100,0.7858,57.7001,48680
1000,0.7858,61.9387,46334.5
900,0.7858,66.7936,43804.2
800,0.7858,72.7326,41102
700,0.7858,80.1507,38173.5
600,0.7858,89.8917,34976.3
500,0.7858,102.77,31437.3
400,0.7858,121.492,27491.5
300,0.7858,150.727,23009.3
250,0.78575,172.771,20505
200,0.78575,205.17,17723.4
180,0.78575,222.247,16552.1
160,0.78575,243.665,15299.5
140,0.7857,269.469,13999.8
120,0.7857,304.599,12578.1
100,0.78565,348.979,11110.1
90,0.78565,381.316,10319.5
80,0.7856,417.362,9505.58
70,0.7855,464.684,8634.76
60,0.78535,522.466,7756.53
55,0.7854,560.224,7289.41
50,0.78525,604.23,6799.52
45,0.78495,655.953,6306.93
40,0.78455,719.166,5797.35
35,0.7839,796.813,5268.93
30,0.78305,902.527,4694.32
25,0.7815,1043.3,4106.65
20,0.77935,1241.46,3491.06
15,0.77265,1555.21,2827.31
10,0.7571,2134.47,2095.64
