ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_overlap/sift1m_overlap_Q5_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_overlap/Q5_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,41.3847,86055.6
1400,1,48.6796,74791.8
1100,1,59.2435,62708.8
1000,1,63.3995,58461.6
900,1,66.0589,54081.6
800,1,75.3267,49550.5
700,1,87.5274,44840.9
600,0.99995,93.932,39930.1
500,0.99985,105.949,34779.1
400,0.9998,131.718,29326.9
300,0.99965,163.908,23481.9
250,0.9994,191.718,20374.8
200,0.99895,232.639,17118.7
180,0.99865,258.498,15756.3
160,0.9982,284.779,14358.6
140,0.99765,318.827,12922.6
120,0.9968,382.336,11441.1
100,0.99495,438.212,9902.23
90,0.99385,499.251,9113.52
80,0.9923,554.017,8299.67
70,0.98995,620.155,7470.22
60,0.98655,714.541,6607
55,0.9847,769.231,6173.91
50,0.9817,833.333,5731.96
45,0.97765,918.695,5278.5
40,0.97325,1018.85,4822.63
35,0.9664,1152.07,4354.37
30,0.95695,1307.19,3875.31
25,0.9446,1552.8,3387.25
20,0.928,1560.06,2889.59
15,0.8949,1755.93,2374.35
10,0.8381,2190.58,1842.11
