ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_containment/tripclick_containment_Q4_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_containment/Q4_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,1,456.621,3585.56
1400,1,507.614,3313.55
1100,1,581.395,2999.34
1000,1,615.385,2883.78
900,1,655.738,2757.66
800,1,696.864,2620.44
700,1,763.359,2472.04
600,1,843.882,2309.2
500,1,943.396,2126.53
400,1,1081.08,1919.89
300,0.9995,1298.7,1674.59
250,0.9995,1459.85,1528.4
200,0.9995,1680.67,1364.09
180,0.9995,1801.8,1289.95
160,0.9995,1941.75,1211.13
140,0.998,2127.66,1123.28
120,0.9975,2352.94,1028.48
100,0.9965,2666.67,923.235
90,0.996,2857.14,865.735
80,0.9955,3125,807.155
70,0.9935,3389.83,745.23
60,0.9925,3773.58,675.125
55,0.9915,4000,639.61
50,0.99,4255.32,602.425
45,0.9855,4651.16,562.77
40,0.981,5000,524.59
35,0.973,5128.21,479.78
30,0.968,6060.61,435.88
25,0.9555,6666.67,389.115
20,0.9315,7692.31,338.89
15,0.91,9090.91,285.91
10,0.858,11111.1,229.8
