ef,recall,qps,distance_computations_per_query
1700,0.9805,9.58084,157542
1400,0.98,11.2969,139750
1100,0.979,13.988,118367
1000,0.979,15.2369,110432
900,0.979,16.7954,102059
800,0.9785,18.7213,93427.9
700,0.9775,21.1551,83991.6
600,0.977,24.417,74334
500,0.9745,29.0107,64163.4
400,0.973,35.6633,53614.9
300,0.971,46.3392,42344.6
250,0.9695,54.7495,36506.9
200,0.968,66.7334,30550.4
180,0.968,73.3407,28045.4
160,0.967,81.4332,25511.4
140,0.966,91.4913,22922.1
120,0.965,104.548,20289.7
100,0.96,122.624,17455.5
90,0.9595,134.68,16044.1
80,0.958,148.81,14645.6
70,0.9555,165.563,13247.6
60,0.9545,187.617,11776.6
55,0.9505,202.634,10986.2
50,0.949,218.818,10250.2
45,0.947,237.812,9488.72
40,0.942,262.812,8629.59
35,0.94,291.545,7817.48
30,0.9375,329.489,6976.23
25,0.9355,383.877,6045.18
20,0.918,460.829,5104.95
15,0.903,586.51,4093.03
10,0.8675,813.008,3039.44
